time,character,quote,location,description
0,JOY,"Do you ever look at someone and wonder, What is going on inside their head? Well, I know. I know Riley's head.",BLACK.,
1,JOY,Hmm?,INT. HEADQUARTERS,Out of the blackness steps a glowing figure. This is JOY. The room is black except for a bright CONSCIOUSNESS SCREEN.
2,JOY,And there she was...,INT. HOSPITAL,The baby gurgles and wiggles happily.
3,MOM,"Hello, Riley.",INT. HEADQUARTERS,The baby gurgles and wiggles happily.
4,DAD,Oh look at you. Aren't you a little bundle of joy?,INT. HEADQUARTERS,The baby gurgles and wiggles happily.
5,JOY,Whoa.,INT. HEADQUARTERS,A GOLDEN GLOWING SPHERE rolls from behind the screen. It's a MEMORY of what we just saw: Mom and Dad cooing at Riley.
6,JOY,"It was amazing. Just Riley and me, forever...",INT. HOSPITAL,Baby Riley gurgles happily.
7,JOY,...for 33 seconds.,INT. HEADQUARTERS,Baby Riley CRIES.
8,SADNESS,I'm Sadness.,INT. HEADQUARTERS,"Joy looks to her side. There's a new, droopy, blue character touching the button."
9,JOY,"Oh, hello. I'm Joy.",INT. HEADQUARTERS,"Joy looks to her side. There's a new, droopy, blue character touching the button."
10,JOY,Can I just... if you could... I just want to fix that. Thanks.,INT. HEADQUARTERS,Joy tries to muscle past Sadness to press the button.
11,JOY,And that was just the beginning. Headquarters only got more crowded from there.,INT. HEADQUARTERS,The two struggle.
12,FEAR,"Very nice. Okay, looks like you got this. Very good, sharp turn...",INT. HEADQUARTERS,"ON THE SCREEN: Riley's POV as she runs through the house.  Fear supervises Joy, who drives."
13,FEAR,Ahh! Look out!!! No!,INT. HEADQUARTERS,Riley approaches a POWER CORD on the ground.
14,JOY,That's Fear. He's really good at keeping Riley safe.,INT. HEADQUARTERS,Fear leaps to the console.
15,FEAR,Easy... we're good! We're good.,INT. MINNESOTA HOUSE,Riley stops. She cautiously steps over the power cord.
16,JOY,Whew!/Nice job.,INT. HEADQUARTERS,A fear memory (purple) rolls in.
17,SADNESS,Whew!/Nice job.,INT. HEADQUARTERS,A fear memory (purple) rolls in.
18,FEAR,Thank you! Thank you very much.,INT. HEADQUARTERS,A fear memory (purple) rolls in.
19,JOY,And we're back!,INT. HEADQUARTERS,Joy jumps back into driving position.
20,DAD,"Here we go. Alright, open.",INT. KITCHEN,PLOP into highchair. Bib. Tray. Bowl.
21,JOY,Hmm. This looks new.,INT. HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.
22,FEAR,Do you think it's safe?/What is it?,INT. HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.
23,SADNESS,Do you think it's safe?/What is it?,INT. HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.
24,DISGUST,"Okay, caution! There is a dangerous smell, people. Hold on, what is that?",INT. HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. DISGUST enters.
25,JOY,"This is Disgust. She basically keeps Riley from being poisoned, physically and socially.",INT. HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. DISGUST enters.
26,DISGUST,That is not brightly colored or shaped like a dinosaur... Hold on guys... It's broccoli!,INT. HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. DISGUST enters.
27,YOUNG RILEY,Yucky!,INT. KITCHEN,Disgust GAGS and pulls a lever.
28,DISGUST,"Well, I just saved our lives. Yeah. You're welcome.",INT. HEADQUARTERS,A disgust memory (green) rolls in.
29,DAD,"Riley, if you don't eat your dinner, you're not going to get any dessert.",INT. KITCHEN,A disgust memory (green) rolls in.
30,ANGER,Wait. Did he just say we couldn't have dessert?,INT. HEADQUARTERS,ANGER looks up from reading his newspaper.
31,JOY,That's Anger. He cares very deeply about things being fair.,INT. HEADQUARTERS,ANGER looks up from reading his newspaper.
32,ANGER,"So that's how you want to play it, old man? No dessert? Oh, sure, we'll eat our dinner, right after YOU eat this! GrrrraaaAAHH!!!!",INT. HEADQUARTERS,ANGER looks up from reading his newspaper.
33,DAD,"('flying' the spoon) Hey, Riley, Riley, here comes an airplane!",INT. KITCHEN,Riley throws a fit. Dad distracts her.
34,ANGER,"Oh, airplane. We got an airplane, everybody.",INT. HEADQUARTERS,Anger stops screaming.
35,DISGUST,Ohh!/Ahh!,INT. HEADQUARTERS,Anger stops screaming.
36,FEAR,Ohh!/Ahh!,INT. HEADQUARTERS,Anger stops screaming.
37,SADNESS,Ohh!/Ahh!,INT. HEADQUARTERS,Anger stops screaming.
38,JOY,Ohh!/Ahh!,INT. HEADQUARTERS,Anger stops screaming.
39,JOY,"And you've met Sadness. She... well, she...",INT. HEADQUARTERS,A happy memory (golden) rolls in. The others leave Joy alone at the console with Sadness.
40,JOY,"I'm not actually sure what she does. And I've checked, there's no place for her to go, so she's good, we're good. It's all great!",INT. HEADQUARTERS,"FLASH CUTS of Riley crying: broken toy, spilled ice cream, tantrum in the supermarket, wanting out of her car seat."
41,JOY,"Anyway! These are Riley's memories-- and they're mostly happy, you'll notice, not to brag.",INT. HEADQUARTERS,Sadness exits. Joy turns to the wall of golden memories.
42,JOY,"But the REALLY important ones are over here. I don't want to get too technical, but these are called CORE MEMORIES.",INT. HEADQUARTERS,"She inspects one of the golden memories: Riley and her friend MEG (both age 3) going down a slide. She REWINDS it, relishing the happy moment."
43,JOY,Each one came from a super- important time in Riley's life. Like when she first scored a goal? That was so amazing!,INT. HEADQUARTERS,Joy pops up the CORE MEMORY HOLDER. Inside are five intensely bright golden memories.
44,MOM,(cheering) Heeey! Would you look at that?! We got a future center here!,"EXT. MINNESOTA LAKE, WINTER - DAY",Two-and-a-half-year-old Riley shoots a hockey puck across the ice. She trips and accidentally scores a goal.
45,DAD,(cheering) Heeey! Would you look at that?! We got a future center here!,"EXT. MINNESOTA LAKE, WINTER - DAY",Two-and-a-half-year-old Riley shoots a hockey puck across the ice. She trips and accidentally scores a goal.
46,JOY,And each core memory powers a different aspect of Riley's personality. Like Hockey Island!,INT. HEADQUARTERS,"A super-bright CORE MEMORY rolls in. It rolls to the Core Memory Holder.  Clicking into position, a LIGHTLINE shoots out.  The Emotions follow it to the back window and watch a new ISLAND OF PERSONALITY form."
47,JOY,Goofball Island is my personal favorite.,INT. HEADQUARTERS,"Five ISLANDS OF PERSONALITY float in space, miles from Headquarters, connected by LIGHTLINES -- their power sources."
48,DAD,"Come back here, you little monkey!",INT. MINNESOTA LIVING ROOM - NIGHT,"Toddler Riley runs naked from the bathroom, underpants on her head, laughing wildly. Dad chases her with a towel."
49,JOY,"Yup, Goofball is the best! Friendship Island is pretty good too.",INT. HEADQUARTERS,Naked Riley does the goofy dance on the sofa.
50,JOY,"Oh, I love Honesty Island! And that's the truth!",INT. HEADQUARTERS,Joy inspects Honesty Island.
51,JOY,"And, of course, Family Island is amazing.",INT. HEADQUARTERS,Joy examines Family Island.
52,JOY,"The point is, the Islands of Personality are what make Riley... Riley!",INT. HEADQUARTERS,The Emotions look out over the Islands of Personality.
53,YOUNG RILEY,"Look out, mermaid!",INT. BATHROOM,Riley splashes in the bathtub.
54,YOUNG RILEY,Lava!,INT. MINNESOTA LIVING ROOM,Joy projects an IMAGINATION of LAVA onto the screen.
55,YOUNG RILEY,"(singing) Who's your friend who likes to play? Bing Bong, Bing Bong...",INT. MINNESOTA HOUSE,Riley draws. Pull back to reveal she's drawing on the wall.
56,MOM,Hey! Very nice! Where did you learn that?,EXT. MINNESOTA LAKE - DAY,Six-year-old Riley skates across the ice backwards.
57,DAD,Hey! Very nice! Where did you learn that?,EXT. MINNESOTA LAKE - DAY,Six-year-old Riley skates across the ice backwards.
58,FEAR,Brain freeze!,INT. HEADQUARTERS,Riley and Meg slurp frozen drinks. Riley grimaces: ice headache!
59,JOY,Yaaay!,INT. HEADQUARTERS,A kids' hockey game. Riley takes a shot and scores!
60,DAD,"Good night, kiddo!",INT. RILEY'S MINNESOTA BEDROOM - NIGHT,Parents tuck Riley into bed and turn off the light.
61,RILEY,"G'night, Dad.",INT. RILEY'S MINNESOTA BEDROOM - NIGHT,Parents tuck Riley into bed and turn off the light.
62,JOY,And... we're out. That's what I'm talking about: another perfect day! Nice job everybody! Let's get those memories down to Long Term.,INT. HEADQUARTERS,Joy watches the screen go DARK. She inspects the shelves mostly populated with GOLDEN MEMORIES.
63,FEAR,"All right, we did not die today! I call that an unqualified success.",INT. HEADQUARTERS,Joy pulls a lever. Memories cascade down the shelves.
64,JOY,"And that's it! We love our girl. She's got great friends and a great house. Things couldn't be better. After all, Riley's 11 now. What could happen?",INT. HEADQUARTERS,The memories pachinko down the shelves and up a tube. Joy runs to the back window to watch them glide through the distant tubes towards Long-Term Memory like falling stars.
65,JOY,Wha...?,INT. HEADQUARTERS,Moving sign: Sold!
66,SADNESS,AIIIIIGHH!!!,INT. HEADQUARTERS,Moving sign: Sold!
67,FEAR,AIIIIIGHH!!!,INT. HEADQUARTERS,Moving sign: Sold!
68,ANGER,AIIIIIGHH!!!,INT. HEADQUARTERS,Moving sign: Sold!
69,DISGUST,AIIIIIGHH!!!,INT. HEADQUARTERS,Moving sign: Sold!
70,JOY,Huh?,INT. HEADQUARTERS,SLAM! A packed car hatchback closes.
71,SADNESS,AIIIIIGHH!!!,INT. HEADQUARTERS,SLAM! A packed car hatchback closes.
72,FEAR,AIIIIIGHH!!!,INT. HEADQUARTERS,SLAM! A packed car hatchback closes.
73,ANGER,AIIIIIGHH!!!,INT. HEADQUARTERS,SLAM! A packed car hatchback closes.
74,DISGUST,AIIIIIGHH!!!,INT. HEADQUARTERS,SLAM! A packed car hatchback closes.
75,JOY,"OK, not what I had in mind.",INT. HEADQUARTERS,VROOM! A moving van drives away.
76,SADNESS,AIIIIIGHH!!!,INT. HEADQUARTERS,VROOM! A moving van drives away.
77,FEAR,AIIIIIGHH!!!,INT. HEADQUARTERS,VROOM! A moving van drives away.
78,ANGER,AIIIIIGHH!!!,INT. HEADQUARTERS,VROOM! A moving van drives away.
79,DISGUST,AIIIIIGHH!!!,INT. HEADQUARTERS,VROOM! A moving van drives away.
80,JOY,"Hey look! The Golden Gate Bridge! Isn't that great?! It's not made out of solid gold like we thought, which is kind of a disappointment, but still!",TITLE CARD: INSIDE OUT,The car drives across the bridge. Riley looks out the window.
81,FEAR,"I sure am glad you told me earthquakes are a myth, Joy. Otherwise I'd be terrified right now!",INT. HEADQUARTERS,The car drives past the Ferry Building.
82,JOY,Uh... yeah.,INT. HEADQUARTERS,Everyone eyes each other behind Fear's back.
83,ANGER,These are my kind of people!,INT. HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.
84,DAD,"All right, just a few more blocks. We're almost to our new house!",EXT. MARKET STREET - DAY,The car is stuck in traffic. Cars HONK and people YELL.
85,ANGER,"Step on it, Daddy!",INT. HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.
86,DISGUST,Why don't we just live in this smelly car? We've already been in it forever.,INT. HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.
87,JOY,"Which, actually, was really lucky, because that gave us plenty of time to think about what our new house is going to look like! Let's review the top five daydreams.",INT. HEADQUARTERS,The car is stuck in traffic. Cars HONK and people YELL.
88,FEAR,Ooh! That looks safe!,INT. HEADQUARTERS,"Joy plugs in DAYDREAMS showing fantasy houses: tree house, water-slide house, etc."
89,JOY,"Ohh, this is will be great for Riley! Oh, no, no, no, THIS one.",INT. HEADQUARTERS,"Joy plugs in DAYDREAMS showing fantasy houses: tree house, water-slide house, etc."
90,DISGUST,"Ugh, Joy. For the last time, she cannot live in a cookie.",INT. HEADQUARTERS,A gingerbread house.
91,ANGER,THAT'S the one! It comes with a dragon!,INT. HEADQUARTERS,A castle.
92,JOY,"Now we're getting close, I can feel it. Here it is, here's our new house... and...",EXT. SAN FRANCISCO HOUSE - DAY,A castle.
93,JOY,Maybe it's nice on the inside.,INT. HEADQUARTERS,Everyone looks slackjawed.
94,ANGER,We're supposed to live here?,INT. SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting."
95,SADNESS,Do we have to?,INT. SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting."
96,DISGUST,"I'm telling you, it smells like something died in here.",INT. SAN FRANCISCO HOUSE,"Riley steps inside. The room is dark, dusty, uninviting."
97,FEAR,Can you die from moving?,INT. HEADQUARTERS,A disgust memory rolls in.
98,JOY,"Guys, you're overreacting. Nobody is dying--",INT. HEADQUARTERS,A disgust memory rolls in.
99,DISGUST,A DEAD MOUSE!!!,INT. HEADQUARTERS,A disgust memory rolls in.
100,DISGUST,I'm gonna be sick...,INT. HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.
101,ANGER,"Great, this is just great.",INT. HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.
102,FEAR,Ahhhhh!! It's the house of the dead! What are we gonna do?! We're gonna get rabies!!!,INT. HEADQUARTERS,ON THE SCREEN: A dead mouse in the corner.
103,ANGER,GET OFFA ME!!!,INT. HEADQUARTERS,Fear jumps into Anger's arms. Anger fires up the flames.
104,JOY,"Hey, hey, hey, all through the drive Dad talked about how cool our new room is. Let's go check it out!",INT. HEADQUARTERS,Fear runs around on fire. Joy puts him out with a fire extinguisher.
105,FEAR,"You're right, Joy/Yeah!/That's right!/Yes, yes, yes!",INT. HEADQUARTERS,Fear runs around on fire. Joy puts him out with a fire extinguisher.
106,ANGER,"You're right, Joy/Yeah!/That's right!/Yes, yes, yes!",INT. HEADQUARTERS,Fear runs around on fire. Joy puts him out with a fire extinguisher.
