time,scene_number,scene_name,character,quote,location,description
0,0,Riley is Born,Joyce,ever look someone wonder go inside head ? well know know Riley head,BLACK.,
1,0,Riley is Born,Joyce,hmm ?,HEADQUARTERS,blackness step glowing figure Joyce room black except bright consciousness screen
2,0,Riley is Born,Joyce,,HOSPITAL,baby gurgle wiggle happily
3,0,Riley is Born,MOM,hello Riley,HEADQUARTERS,baby gurgle wiggle happily
4,0,Riley is Born,DAD,oh look little bundle joy ?,HEADQUARTERS,baby gurgle wiggle happily
5,0,Riley is Born,Joyce,Whoa,HEADQUARTERS,golden glowing sphere roll behind screen memory see mom Dad coo Riley
6,0,Riley is Born,Joyce,amazing Riley forever,HOSPITAL,Baby Riley gurgle happily
7,0,Riley is Born,Joyce,33 seconds,HEADQUARTERS,Baby Riley cry
8,0,Riley is Born,Sandra,Sandra,HEADQUARTERS,Joyce look side new droopy blue character touch button
9,0,Riley is Born,Joyce,oh hello Joyce,HEADQUARTERS,Joyce look side new droopy blue character touch button
10,0,Riley is Born,Joyce,could want fix thanks,HEADQUARTERS,Joyce try muscle past Sandra press button
11,0,Riley is Born,Joyce,beginning headquarters get crowd,HEADQUARTERS,two struggle
12,0,Riley is Born,Felipe,nice okay look like get good sharp turn,HEADQUARTERS,screen Riley pov run house Felipe supervise Joyce drive
13,0,Riley is Born,Felipe,ahh ! look !!! !,HEADQUARTERS,Riley approach power cord ground
14,0,Riley is Born,Joyce,Felipe really good keep Riley safe,HEADQUARTERS,Felipe leap console
15,0,Riley is Born,Felipe,Easy good ! good,MINNESOTA HOUSE,Riley stop cautiously step power cord
16,0,Riley is Born,Joyce,whew ! nice job,HEADQUARTERS,fear memory purple roll
17,0,Riley is Born,Sandra,whew ! nice job,HEADQUARTERS,fear memory purple roll
18,0,Riley is Born,Felipe,thank ! thank much,HEADQUARTERS,fear memory purple roll
19,0,Riley is Born,Joyce,back !,HEADQUARTERS,Joyce jump back drive position
20,0,Riley is Born,DAD,go Alright open,MINNESOTA HOUSE,plop highchair Bib Tray Bowl
21,0,Riley is Born,Joyce,hmm look new,HEADQUARTERS,Dad lift spoonful food Riley mouth
22,0,Riley is Born,Felipe,think safe ? ?,HEADQUARTERS,Dad lift spoonful food Riley mouth
23,0,Riley is Born,Sandra,think safe ? ?,HEADQUARTERS,Dad lift spoonful food Riley mouth
24,0,Riley is Born,Diane,okay caution ! dangerous smell people hold ?,HEADQUARTERS,screen spoonful broccoli Diane enter
25,0,Riley is Born,Joyce,Diane basically keep Riley poison physically socially,HEADQUARTERS,screen spoonful broccoli Diane enter
26,0,Riley is Born,Diane,brightly color shape like dinosaur hold guy broccoli !,HEADQUARTERS,screen spoonful broccoli Diane enter
27,0,Riley is Born,YOUNG RILEY,yucky !,MINNESOTA HOUSE,Diane GAGS pull lever
28,0,Riley is Born,Diane,well save life yeah welcome,HEADQUARTERS,disgust memory green roll
29,0,Riley is Born,DAD,Riley eat dinner go get dessert,MINNESOTA HOUSE,disgust memory green roll
30,0,Riley is Born,Angelo,wait say could dessert ?,HEADQUARTERS,Angelo look read newspaper
31,0,Riley is Born,Joyce,Angelo care deeply thing fair,HEADQUARTERS,Angelo look read newspaper
32,0,Riley is Born,Angelo,want play old man ? dessert ? oh sure eat dinner right eat ! grrrraaaaahh !!!!,HEADQUARTERS,Angelo look read newspaper
33,0,Riley is Born,DAD,fly spoon hey Riley Riley come airplane !,MINNESOTA HOUSE,Riley throw fit Dad distract
34,0,Riley is Born,Angelo,oh airplane get airplane everybody,HEADQUARTERS,Angelo stop scream
35,0,Riley is Born,Diane,ohh ! ahh !,HEADQUARTERS,Angelo stop scream
36,0,Riley is Born,Felipe,ohh ! ahh !,HEADQUARTERS,Angelo stop scream
37,0,Riley is Born,Sandra,ohh ! ahh !,HEADQUARTERS,Angelo stop scream
38,0,Riley is Born,Joyce,ohh ! ahh !,HEADQUARTERS,Angelo stop scream
39,0,Riley is Born,Joyce,meet Sandra well,HEADQUARTERS,happy memory golden roll leave Joyce alone console Sandra
40,0,Riley is Born,Joyce,actually sure check place go good good great !,HEADQUARTERS,flash cut Riley cry broken toy spill ice cream tantrum supermarket want car seat
41,0,Riley is Born,Joyce,anyway ! Riley memory mostly happy notice brag,HEADQUARTERS,Sandra exit Joyce turn wall golden memory
42,0,Riley is Born,Joyce,really important one want get technical call core memory,HEADQUARTERS,inspect one golden memory Riley friend MEG age 3 go slide rewind relish happy moment
43,0,Riley is Born,Joyce,one come super important time Riley life like first score goal ? amazing !,HEADQUARTERS,Joyce pop core memory holder inside five intensely bright golden memory
44,0,Riley is Born,MOM,cheer heeey ! would look ?! get future center !,MINNESOTA LAKE,Riley shoot hockey puck across ice trip accidentally score goal
45,0,Riley is Born,DAD,cheer heeey ! would look ?! get future center !,MINNESOTA LAKE,Riley shoot hockey puck across ice trip accidentally score goal
46,0,Riley is Born,Joyce,core memory power different aspect Riley personality like hockey island !,HEADQUARTERS,super-bright core memory roll roll Core memory holder click position lightline shoot emotion follow back window watch new ISLAND PERSONALITY form
47,0,Riley is Born,Joyce,Goofball Island personal favorite,HEADQUARTERS,five ISLANDS personality float space mile headquarters connect LIGHTLINES power source
48,0,Riley is Born,DAD,come back little monkey !,MINNESOTA HOUSE,toddler Riley run naked bathroom underpants head laugh wildly Dad chase towel
49,0,Riley is Born,Joyce,yup Goofball best ! friendship island pretty good,HEADQUARTERS,naked Riley goofy dance sofa
50,0,Riley is Born,Joyce,oh love Honesty Island ! truth !,HEADQUARTERS,Joyce inspect Honesty Island
51,0,Riley is Born,Joyce,course Family Island amazing,HEADQUARTERS,Joyce examine Family Island
52,0,Riley is Born,Joyce,point Islands Personality make Riley Riley !,HEADQUARTERS,emotion look Islands Personality
53,0,Riley is Born,YOUNG RILEY,look mermaid !,MINNESOTA HOUSE,Riley splash bathtub
54,0,Riley is Born,YOUNG RILEY,lava !,MINNESOTA HOUSE,Joyce project imagination LAVA onto screen
55,0,Riley is Born,YOUNG RILEY,singing friend like play ? Bing Bong Bing Bong,MINNESOTA HOUSE,Riley draw pull back reveal draw wall
56,0,Riley is Born,MOM,hey ! nice ! learn ?,MINNESOTA LAKE,Riley skate across ice backwards
57,0,Riley is Born,DAD,hey ! nice ! learn ?,MINNESOTA LAKE,Riley skate across ice backwards
58,0,Riley is Born,Felipe,brain freeze !,HEADQUARTERS,Riley Meg slurp frozen drink Riley grimace ice headache !
59,0,Riley is Born,Joyce,Yaaay !,HEADQUARTERS,kid hockey game Riley take shot score !
60,0,Riley is Born,DAD,good night kiddo !,MINNESOTA HOUSE,parent tuck Riley bed turn light
61,0,Riley is Born,RILEY,Dad,MINNESOTA HOUSE,parent tuck Riley bed turn light
62,0,Riley is Born,Joyce,talk another perfect day ! nice job everybody ! let get memory long term,HEADQUARTERS,Joyce watch screen go DARK inspect shelf mostly populate golden memory
63,0,Riley is Born,Felipe,right die today ! call unqualified success,HEADQUARTERS,Joyce pull lever Memories cascade shelf
64,0,Riley is Born,Joyce,! love girl get great friend great house thing could better Riley 11 could happen ?,HEADQUARTERS,memory pachinko shelf tube Joyce run back window watch glide distant tube towards Long-Term memory like fall star
65,1,Moving to San Francisco,Joyce,Wha ?,HEADQUARTERS,move sign sold !
66,1,Moving to San Francisco,Sandra,AIIIIIGHH !!!,HEADQUARTERS,move sign sold !
67,1,Moving to San Francisco,Felipe,AIIIIIGHH !!!,HEADQUARTERS,move sign sold !
68,1,Moving to San Francisco,Angelo,AIIIIIGHH !!!,HEADQUARTERS,move sign sold !
69,1,Moving to San Francisco,Diane,AIIIIIGHH !!!,HEADQUARTERS,move sign sold !
70,1,Moving to San Francisco,Joyce,Huh ?,HEADQUARTERS,slam ! packed car hatchback close
71,1,Moving to San Francisco,Sandra,AIIIIIGHH !!!,HEADQUARTERS,slam ! packed car hatchback close
72,1,Moving to San Francisco,Felipe,AIIIIIGHH !!!,HEADQUARTERS,slam ! packed car hatchback close
73,1,Moving to San Francisco,Angelo,AIIIIIGHH !!!,HEADQUARTERS,slam ! packed car hatchback close
74,1,Moving to San Francisco,Diane,AIIIIIGHH !!!,HEADQUARTERS,slam ! packed car hatchback close
75,1,Moving to San Francisco,Joyce,ok mind,HEADQUARTERS,VROOM ! move van drive away
76,1,Moving to San Francisco,Sandra,AIIIIIGHH !!!,HEADQUARTERS,VROOM ! move van drive away
77,1,Moving to San Francisco,Felipe,AIIIIIGHH !!!,HEADQUARTERS,VROOM ! move van drive away
78,1,Moving to San Francisco,Angelo,AIIIIIGHH !!!,HEADQUARTERS,VROOM ! move van drive away
79,1,Moving to San Francisco,Diane,AIIIIIGHH !!!,HEADQUARTERS,VROOM ! move van drive away
80,1,Moving to San Francisco,Joyce,hey look ! Golden Gate Bridge ! great ?! make solid gold like think kind disappointment still !,TITLE CARD: INSIDE OUT,car drive across bridge Riley look window
81,1,Moving to San Francisco,Felipe,sure glad tell earthquake myth Joyce otherwise would terrify right !,HEADQUARTERS,car drive past ferry building
82,1,Moving to San Francisco,Joyce,uh yeah,HEADQUARTERS,everyone eye behind Felipe back
83,1,Moving to San Francisco,Angelo,kind people !,HEADQUARTERS,car stick traffic car HONK people yell
84,1,Moving to San Francisco,DAD,right block almost new house !,EXT. MARKET STREET - DAY,car stick traffic car HONK people yell
85,1,Moving to San Francisco,Angelo,step Daddy !,HEADQUARTERS,car stick traffic car HONK people yell
86,1,Moving to San Francisco,Diane,live smelly car ? already forever,HEADQUARTERS,car stick traffic car HONK people yell
87,1,Moving to San Francisco,Joyce,actually really lucky give plenty time think new house go look like ! let review top five daydream,HEADQUARTERS,car stick traffic car HONK people yell
88,1,Moving to San Francisco,Felipe,Ooh ! look safe !,HEADQUARTERS,Joyce plug daydream show fantasy house tree house water-slide house
