time,scene_number,scene_name,character,quote,location,description,dialogue_act_type
0,0,Riley is Born,Joyce,"Do you ever look at someone and wonder, What is going on inside their head? Well, I know. I know Riley's head.",BLACK.,,Clarify
1,0,Riley is Born,Joyce,Hmm?,HEADQUARTERS,Out of the blackness steps a glowing figure. This is Joyce. The room is black except for a bright CONSCIOUSNESS SCREEN.,ynQuestion
2,0,Riley is Born,Joyce,And there she was...,HOSPITAL,The baby gurgles and wiggles happily.,Statement
3,0,Riley is Born,MOM,"Hello, Riley.",HEADQUARTERS,The baby gurgles and wiggles happily.,Statement
4,0,Riley is Born,DAD,Oh look at you. Aren't you a little bundle of joy?,HEADQUARTERS,The baby gurgles and wiggles happily.,ynQuestion
5,0,Riley is Born,Joyce,Whoa.,HEADQUARTERS,A GOLDEN GLOWING SPHERE rolls from behind the screen. It's a MEMORY of what we just saw: Mom and Dad cooing at Riley.,Statement
6,0,Riley is Born,Joyce,"It was amazing. Just Riley and me, forever...",HOSPITAL,Baby Riley gurgles happily.,nAnswer
7,0,Riley is Born,Joyce,...for 33 seconds.,HEADQUARTERS,Baby Riley CRIES.,Reject
8,0,Riley is Born,Sandra,I'm Sandra.,HEADQUARTERS,"Joyce looks to her side. There's a new, droopy, blue character touching the button.",Statement
9,0,Riley is Born,Joyce,"Oh, hello. I'm Joyce.",HEADQUARTERS,"Joyce looks to her side. There's a new, droopy, blue character touching the button.",Statement
10,0,Riley is Born,Joyce,Can I just... if you could... I just want to fix that. Thanks.,HEADQUARTERS,Joyce tries to muscle past Sandra to press the button.,Statement
11,0,Riley is Born,Joyce,And that was just the beginning. Headquarters only got more crowded from there.,HEADQUARTERS,The two struggle.,Statement
12,0,Riley is Born,Felipe,"Very nice. Okay, looks like you got this. Very good, sharp turn...",HEADQUARTERS,"ON THE SCREEN: Riley's POV as she runs through the house.  Felipe supervises Joyce, who drives.",Clarify
13,0,Riley is Born,Felipe,Ahh! Look out!!! No!,HEADQUARTERS,Riley approaches a POWER CORD on the ground.,Reject
14,0,Riley is Born,Joyce,That's Felipe. He's really good at keeping Riley safe.,HEADQUARTERS,Felipe leaps to the console.,Statement
