rank,indices,names,value
1,"(1, 8)","('Sandra', 'DAD')",0.249432534391
2,"(3, 7)","('BING BONG', 'RILEY')",0.258163051189
3,"(0, 8)","('Joyce', 'DAD')",0.260931229221
4,"(3, 8)","('BING BONG', 'DAD')",0.264689641015
5,"(3, 5)","('BING BONG', 'Diane')",0.267941585589
6,"(3, 6)","('BING BONG', 'MOM')",0.268402517328
7,"(5, 7)","('Diane', 'RILEY')",0.268763308883
8,"(4, 7)","('Angelo', 'RILEY')",0.274646517091
9,"(4, 6)","('Angelo', 'MOM')",0.274919688018
10,"(3, 4)","('BING BONG', 'Angelo')",0.276755495021
