character1,character2,boolean_similarity
ABSTRACT WORKER #1,ABSTRACT WORKER #1,1.0
ABSTRACT WORKER #1,ABSTRACT WORKER #2,0.0
ABSTRACT WORKER #1,Angelo,0.141456288029
ABSTRACT WORKER #1,BING BONG,0.120604537831
ABSTRACT WORKER #1,BOYFRIEND GENERATOR WORKER,0.0
ABSTRACT WORKER #1,CLOUD MAN,0.0753778361444
ABSTRACT WORKER #1,CLOUD WITNESS,0.0
ABSTRACT WORKER #1,DAD,0.150616019019
ABSTRACT WORKER #1,DAD'S Angelo,0.123299240479
ABSTRACT WORKER #1,DAD'S Felipe,0.0481125224325
ABSTRACT WORKER #1,DREAM DIRECTOR,0.142857142857
ABSTRACT WORKER #1,DREAM PRODUCTIONS COP #1,0.0
ABSTRACT WORKER #1,DREAM STUDENT #1,0.111803398875
ABSTRACT WORKER #1,DREAM STUDENT #2,0.102062072616
ABSTRACT WORKER #1,Diane,0.119627537229
ABSTRACT WORKER #1,EXTRA,0.172061800403
ABSTRACT WORKER #1,FEMALE FORGETTER,0.117130321416
ABSTRACT WORKER #1,Felipe,0.127775313
ABSTRACT WORKER #1,GIRL ALARM,0.0
ABSTRACT WORKER #1,GUM MEMORY,0.0
ABSTRACT WORKER #1,HELICOPTER PILOT,0.0
ABSTRACT WORKER #1,HOCKEY COACH,0.0883883476483
ABSTRACT WORKER #1,HOCKEY TEAMMATE,0.144337567297
ABSTRACT WORKER #1,HOUSE OF CARDS WORKER,0.0
ABSTRACT WORKER #1,IMAGINARY BOYFRIEND,0.0
ABSTRACT WORKER #1,IMAGINARY BOYFRIENDS,0.0
ABSTRACT WORKER #1,JANGLES,0.0790569415042
ABSTRACT WORKER #1,Joyce,0.09474209112
ABSTRACT WORKER #1,MALE FORGETTER,0.104006286792
ABSTRACT WORKER #1,MEG,0.174077655956
ABSTRACT WORKER #1,MIND WORKER COP #1,0.0693375245282
ABSTRACT WORKER #1,MIND WORKER COP #2,0.0
ABSTRACT WORKER #1,MOM,0.117130321416
ABSTRACT WORKER #1,MOM'S Angelo,0.181901718777
ABSTRACT WORKER #1,MOM'S Diane,0.159900537267
ABSTRACT WORKER #1,MOM'S Felipe,0.0721687836487
ABSTRACT WORKER #1,MOM'S Joyce,0.0753778361444
ABSTRACT WORKER #1,MOM'S Sandra,0.0980580675691
ABSTRACT WORKER #1,MOUSE,0.0
ABSTRACT WORKER #1,PIZZA BEAR,0.111803398875
ABSTRACT WORKER #1,PIZZA SLICE,0.0
ABSTRACT WORKER #1,RILEY,0.131055608499
ABSTRACT WORKER #1,RILEY VOICE,0.0
ABSTRACT WORKER #1,SPORTS ANNOUNCER,0.0
ABSTRACT WORKER #1,SUBCONSCIOUS GUARD DAVE,0.129099444874
ABSTRACT WORKER #1,SUBCONSCIOUS GUARD FRANK,0.129099444874
ABSTRACT WORKER #1,Sandra,0.138740943595
ABSTRACT WORKER #1,TEACHER,0.26940795304
ABSTRACT WORKER #1,TRAIN ENGINEER,0.125
ABSTRACT WORKER #1,WORKER #1,0.176776695297
ABSTRACT WORKER #1,WORKER FRITZ,0.0944911182523
ABSTRACT WORKER #1,YOUNG RILEY,0.216506350946
ABSTRACT WORKER #2,ABSTRACT WORKER #2,1.0
ABSTRACT WORKER #2,Angelo,0.0
ABSTRACT WORKER #2,BING BONG,0.0301511344578
ABSTRACT WORKER #2,BOYFRIEND GENERATOR WORKER,0.0
ABSTRACT WORKER #2,CLOUD MAN,0.0
ABSTRACT WORKER #2,CLOUD WITNESS,0.0
ABSTRACT WORKER #2,DAD,0.0
ABSTRACT WORKER #2,DAD'S Angelo,0.0
ABSTRACT WORKER #2,DAD'S Felipe,0.0
ABSTRACT WORKER #2,DREAM DIRECTOR,0.0
ABSTRACT WORKER #2,DREAM PRODUCTIONS COP #1,0.0
ABSTRACT WORKER #2,DREAM STUDENT #1,0.0
ABSTRACT WORKER #2,DREAM STUDENT #2,0.0
ABSTRACT WORKER #2,Diane,0.0
ABSTRACT WORKER #2,EXTRA,0.0
ABSTRACT WORKER #2,FEMALE FORGETTER,0.0
ABSTRACT WORKER #2,Felipe,0.0
ABSTRACT WORKER #2,GIRL ALARM,0.0
ABSTRACT WORKER #2,GUM MEMORY,0.0
ABSTRACT WORKER #2,HELICOPTER PILOT,0.0
ABSTRACT WORKER #2,HOCKEY COACH,0.0
ABSTRACT WORKER #2,HOCKEY TEAMMATE,0.0
ABSTRACT WORKER #2,HOUSE OF CARDS WORKER,0.0
ABSTRACT WORKER #2,IMAGINARY BOYFRIEND,0.0
ABSTRACT WORKER #2,IMAGINARY BOYFRIENDS,0.0
ABSTRACT WORKER #2,JANGLES,0.0
ABSTRACT WORKER #2,Joyce,0.0210537980267
ABSTRACT WORKER #2,MALE FORGETTER,0.0
ABSTRACT WORKER #2,MEG,0.0
ABSTRACT WORKER #2,MIND WORKER COP #1,0.0
ABSTRACT WORKER #2,MIND WORKER COP #2,0.0
ABSTRACT WORKER #2,MOM,0.0
ABSTRACT WORKER #2,MOM'S Angelo,0.0
ABSTRACT WORKER #2,MOM'S Diane,0.0
ABSTRACT WORKER #2,MOM'S Felipe,0.0
ABSTRACT WORKER #2,MOM'S Joyce,0.0
ABSTRACT WORKER #2,MOM'S Sandra,0.0
ABSTRACT WORKER #2,MOUSE,0.0
ABSTRACT WORKER #2,PIZZA BEAR,0.0
ABSTRACT WORKER #2,PIZZA SLICE,0.0
ABSTRACT WORKER #2,RILEY,0.0
ABSTRACT WORKER #2,RILEY VOICE,0.0
ABSTRACT WORKER #2,SPORTS ANNOUNCER,0.0
ABSTRACT WORKER #2,SUBCONSCIOUS GUARD DAVE,0.0
ABSTRACT WORKER #2,SUBCONSCIOUS GUARD FRANK,0.0
ABSTRACT WORKER #2,Sandra,0.0616626415978
ABSTRACT WORKER #2,TEACHER,0.0
ABSTRACT WORKER #2,TRAIN ENGINEER,0.0
ABSTRACT WORKER #2,WORKER #1,0.0
ABSTRACT WORKER #2,WORKER FRITZ,0.0
ABSTRACT WORKER #2,YOUNG RILEY,0.0
Angelo,Angelo,1.0
Angelo,BING BONG,0.276755495021
Angelo,BOYFRIEND GENERATOR WORKER,0.0
Angelo,CLOUD MAN,0.11373513494
Angelo,CLOUD WITNESS,0.0889108448949
Angelo,DAD,0.324656502372
Angelo,DAD'S Angelo,0.206713515555
Angelo,DAD'S Felipe,0.0483969339094
Angelo,DREAM DIRECTOR,0.161664329176
Angelo,DREAM PRODUCTIONS COP #1,0.0725954008641
Angelo,DREAM STUDENT #1,0.0562321557116
Angelo,DREAM STUDENT #2,0.128331750585
Angelo,Diane,0.382492443241
Angelo,EXTRA,0.129809192515
Angelo,FEMALE FORGETTER,0.2160083263
Angelo,Felipe,0.369525594676
Angelo,GIRL ALARM,0.0444554224474
Angelo,GUM MEMORY,0.102665400468
Angelo,HELICOPTER PILOT,0.036297700432
Angelo,HOCKEY COACH,0.0666831336712
Angelo,HOCKEY TEAMMATE,0.0725954008641
Angelo,HOUSE OF CARDS WORKER,0.0628694613462
Angelo,IMAGINARY BOYFRIEND,0.102665400468
Angelo,IMAGINARY BOYFRIENDS,0.0889108448949
Angelo,JANGLES,0.0994053465609
Angelo,Joyce,0.346793926602
Angelo,MALE FORGETTER,0.139494810181
Angelo,MEG,0.164162526935
Angelo,MIND WORKER COP #1,0.174368512727
Angelo,MIND WORKER COP #2,0.0
Angelo,MOM,0.274919688018
Angelo,MOM'S Angelo,0.152480841033
Angelo,MOM'S Diane,0.174249584547
Angelo,MOM'S Felipe,0.163339651944
Angelo,MOM'S Joyce,0.151646846587
Angelo,MOM'S Sandra,0.197275452439
Angelo,MOUSE,0.125738922692
Angelo,PIZZA BEAR,0.0562321557116
Angelo,PIZZA SLICE,0.0725954008641
Angelo,RILEY,0.274646517091
Angelo,RILEY VOICE,0.0843482335673
Angelo,SPORTS ANNOUNCER,0.0237624228261
Angelo,SUBCONSCIOUS GUARD DAVE,0.146095426067
Angelo,SUBCONSCIOUS GUARD FRANK,0.146095426067
Angelo,Sandra,0.30238237087
Angelo,TEACHER,0.20325039468
Angelo,TRAIN ENGINEER,0.0943041920193
Angelo,WORKER #1,0.133366267342
Angelo,WORKER FRITZ,0.142574536957
Angelo,YOUNG RILEY,0.108893101296
BING BONG,BING BONG,1.0
BING BONG,BOYFRIEND GENERATOR WORKER,0.0426401432711
BING BONG,CLOUD MAN,0.0909090909091
BING BONG,CLOUD WITNESS,0.0426401432711
BING BONG,DAD,0.264689641015
BING BONG,DAD'S Angelo,0.138790847187
BING BONG,DAD'S Felipe,0.081236239446
BING BONG,DREAM DIRECTOR,0.180906806747
BING BONG,DREAM PRODUCTIONS COP #1,0.104446593573
BING BONG,DREAM STUDENT #1,0.0539359889971
BING BONG,DREAM STUDENT #2,0.0984731927835
BING BONG,Diane,0.267941585589
BING BONG,EXTRA,0.0968400249413
BING BONG,FEMALE FORGETTER,0.2166055403
BING BONG,Felipe,0.300500510126
BING BONG,GIRL ALARM,0.0426401432711
BING BONG,GUM MEMORY,0.0492365963917
BING BONG,HELICOPTER PILOT,0.0696310623823
BING BONG,HOCKEY COACH,0.0639602149067
BING BONG,HOCKEY TEAMMATE,0.104446593573
BING BONG,HOUSE OF CARDS WORKER,0.0301511344578
BING BONG,IMAGINARY BOYFRIEND,0.0738548945876
BING BONG,IMAGINARY BOYFRIENDS,0.0852802865422
BING BONG,JANGLES,0.0572077553547
BING BONG,Joyce,0.388495087831
BING BONG,MALE FORGETTER,0.158885981901
BING BONG,MEG,0.146961886703
BING BONG,MIND WORKER COP #1,0.167248402001
BING BONG,MIND WORKER COP #2,0.0301511344578
BING BONG,MOM,0.268402517328
BING BONG,MOM'S Angelo,0.0877526908953
BING BONG,MOM'S Diane,0.154277843168
BING BONG,MOM'S Felipe,0.121854359169
BING BONG,MOM'S Joyce,0.127272727273
BING BONG,MOM'S Sandra,0.141914975037
BING BONG,MOUSE,0.0904534033733
BING BONG,PIZZA BEAR,0.0269679944985
BING BONG,PIZZA SLICE,0.0348155311911
BING BONG,RILEY,0.258163051189
BING BONG,RILEY VOICE,0.0269679944985
BING BONG,SPORTS ANNOUNCER,0.0455842305839
BING BONG,SUBCONSCIOUS GUARD DAVE,0.155699788832
BING BONG,SUBCONSCIOUS GUARD FRANK,0.171269767716
BING BONG,Sandra,0.327218953219
BING BONG,TEACHER,0.173289715544
BING BONG,TRAIN ENGINEER,0.0603022689156
BING BONG,WORKER #1,0.106600358178
BING BONG,WORKER FRITZ,0.11396057646
BING BONG,YOUNG RILEY,0.139262124765
