rank,indices,names,value
1,"(2, 5)","('Felipe', 'Diane')",0.410523407203
2,"(0, 1)","('Joyce', 'Sandra')",0.405048634221
3,"(0, 3)","('Joyce', 'BING BONG')",0.388495087831
4,"(4, 5)","('Angelo', 'Diane')",0.382492443241
5,"(2, 4)","('Felipe', 'Angelo')",0.369525594676
6,"(1, 2)","('Sandra', 'Felipe')",0.358492831541
7,"(6, 8)","('MOM', 'DAD')",0.356194378691
8,"(0, 4)","('Joyce', 'Angelo')",0.346793926602
9,"(0, 2)","('Joyce', 'Felipe')",0.33895960972
10,"(1, 3)","('Sandra', 'BING BONG')",0.327218953219
