character,quote
Joyce,324
Sandra,130
Felipe,104
BING BONG,101
Angelo,93
Diane,87
MOM,53
RILEY,45
DAD,40
MALE FORGETTER,11
FEMALE FORGETTER,11
DREAM DIRECTOR,9
SUBCONSCIOUS GUARD FRANK,9
DAD'S Felipe,8
DAD'S Angelo,8
SUBCONSCIOUS GUARD DAVE,8
MOM'S Sandra,7
MOM'S Angelo,6
MEG,5
MOM'S Diane,5
JANGLES,4
YOUNG RILEY,4
TEACHER,4
MIND WORKER COP #1,3
MOM'S Felipe,3
HOCKEY COACH,3
IMAGINARY BOYFRIEND,3
GUM MEMORY,3
EXTRA,2
ABSTRACT WORKER #1,2
HOUSE OF CARDS WORKER,2
WORKER FRITZ,2
WORKER #1,2
MOM'S Joyce,2
HOCKEY TEAMMATE,1
RILEY VOICE,1
ABSTRACT WORKER #2,1
TRAIN ENGINEER,1
BOYFRIEND GENERATOR WORKER,1
CLOUD MAN,1
CLOUD WITNESS,1
SPORTS ANNOUNCER,1
PIZZA BEAR,1
PIZZA SLICE,1
HELICOPTER PILOT,1
DREAM PRODUCTIONS COP #1,1
DREAM STUDENT #1,1
DREAM STUDENT #2,1
MOUSE,1
MIND WORKER COP #2,1
GIRL ALARM,1
IMAGINARY BOYFRIENDS,1
