rank,indices,names,value
1,"(3, 7)","('BING BONG', 'RILEY')",0.124968739676
2,"(3, 8)","('BING BONG', 'DAD')",0.130076889202
3,"(1, 8)","('Sandra', 'DAD')",0.131088147968
4,"(3, 6)","('BING BONG', 'MOM')",0.131179895964
5,"(4, 7)","('Angelo', 'RILEY')",0.136861406806
6,"(5, 7)","('Diane', 'RILEY')",0.137559174772
7,"(2, 8)","('Felipe', 'DAD')",0.14040930316
8,"(4, 6)","('Angelo', 'MOM')",0.144122392617
9,"(3, 4)","('BING BONG', 'Angelo')",0.144362662521
10,"(1, 6)","('Sandra', 'MOM')",0.145945269786
