rank,indices,names,value
1,"(0, 1)","('Joyce', 'Sandra')",0.316408420928
2,"(0, 3)","('Joyce', 'BING BONG')",0.298388201139
3,"(2, 5)","('Felipe', 'Diane')",0.286023619788
4,"(4, 5)","('Angelo', 'Diane')",0.239455611343
5,"(1, 2)","('Sandra', 'Felipe')",0.237965942425
6,"(2, 4)","('Felipe', 'Angelo')",0.237360161346
7,"(0, 4)","('Joyce', 'Angelo')",0.234836156899
8,"(0, 2)","('Joyce', 'Felipe')",0.233246717176
9,"(6, 8)","('MOM', 'DAD')",0.215145980472
10,"(0, 5)","('Joyce', 'Diane')",0.20194267363
