character1,character2,tfidf_similarity
ABSTRACT WORKER #1,ABSTRACT WORKER #1,1.0
ABSTRACT WORKER #1,ABSTRACT WORKER #2,0.0
ABSTRACT WORKER #1,Angelo,0.0578107125843
ABSTRACT WORKER #1,BING BONG,0.0423508386441
ABSTRACT WORKER #1,BOYFRIEND GENERATOR WORKER,0.0
ABSTRACT WORKER #1,CLOUD MAN,0.00268576166793
ABSTRACT WORKER #1,CLOUD WITNESS,0.0
ABSTRACT WORKER #1,DAD,0.0427192275613
ABSTRACT WORKER #1,DAD'S Angelo,0.0281009845518
ABSTRACT WORKER #1,DAD'S Felipe,0.00127108681389
ABSTRACT WORKER #1,DREAM DIRECTOR,0.0754906661904
ABSTRACT WORKER #1,DREAM PRODUCTIONS COP #1,0.0
ABSTRACT WORKER #1,DREAM STUDENT #1,0.0174310025989
ABSTRACT WORKER #1,DREAM STUDENT #2,0.0218951087416
ABSTRACT WORKER #1,Diane,0.0346104345509
ABSTRACT WORKER #1,EXTRA,0.0371895389713
ABSTRACT WORKER #1,FEMALE FORGETTER,0.0147751544359
ABSTRACT WORKER #1,Felipe,0.0388855673763
ABSTRACT WORKER #1,GIRL ALARM,0.0
ABSTRACT WORKER #1,GUM MEMORY,0.0
ABSTRACT WORKER #1,HELICOPTER PILOT,0.0
ABSTRACT WORKER #1,HOCKEY COACH,0.0233748148402
ABSTRACT WORKER #1,HOCKEY TEAMMATE,0.00734866743018
ABSTRACT WORKER #1,HOUSE OF CARDS WORKER,0.0
ABSTRACT WORKER #1,IMAGINARY BOYFRIEND,0.0
ABSTRACT WORKER #1,IMAGINARY BOYFRIENDS,0.0
ABSTRACT WORKER #1,JANGLES,0.00222839460454
ABSTRACT WORKER #1,Joyce,0.036660433757
ABSTRACT WORKER #1,MALE FORGETTER,0.0129948403958
ABSTRACT WORKER #1,MEG,0.0286967275531
ABSTRACT WORKER #1,MIND WORKER COP #1,0.00290424400537
ABSTRACT WORKER #1,MIND WORKER COP #2,0.0
ABSTRACT WORKER #1,MOM,0.0284466873907
ABSTRACT WORKER #1,MOM'S Angelo,0.0367610704589
ABSTRACT WORKER #1,MOM'S Diane,0.0408016870789
ABSTRACT WORKER #1,MOM'S Felipe,0.00328982060622
ABSTRACT WORKER #1,MOM'S Joyce,0.00362333978577
ABSTRACT WORKER #1,MOM'S Sandra,0.0122493320919
ABSTRACT WORKER #1,MOUSE,0.0
ABSTRACT WORKER #1,PIZZA BEAR,0.0039546030784
ABSTRACT WORKER #1,PIZZA SLICE,0.0
ABSTRACT WORKER #1,RILEY,0.0332479393615
ABSTRACT WORKER #1,RILEY VOICE,0.0
ABSTRACT WORKER #1,SPORTS ANNOUNCER,0.0
ABSTRACT WORKER #1,SUBCONSCIOUS GUARD DAVE,0.0118747199231
ABSTRACT WORKER #1,SUBCONSCIOUS GUARD FRANK,0.02738498029
ABSTRACT WORKER #1,Sandra,0.0669293312226
ABSTRACT WORKER #1,TEACHER,0.0952477078093
ABSTRACT WORKER #1,TRAIN ENGINEER,0.0307668352878
ABSTRACT WORKER #1,WORKER #1,0.0219426414617
ABSTRACT WORKER #1,WORKER FRITZ,0.0242640594904
ABSTRACT WORKER #1,YOUNG RILEY,0.0285379499975
ABSTRACT WORKER #2,ABSTRACT WORKER #2,1.0
ABSTRACT WORKER #2,Angelo,0.0
ABSTRACT WORKER #2,BING BONG,0.0210609367423
ABSTRACT WORKER #2,BOYFRIEND GENERATOR WORKER,0.0
ABSTRACT WORKER #2,CLOUD MAN,0.0
ABSTRACT WORKER #2,CLOUD WITNESS,0.0
ABSTRACT WORKER #2,DAD,0.0
ABSTRACT WORKER #2,DAD'S Angelo,0.0
ABSTRACT WORKER #2,DAD'S Felipe,0.0
ABSTRACT WORKER #2,DREAM DIRECTOR,0.0
ABSTRACT WORKER #2,DREAM PRODUCTIONS COP #1,0.0
ABSTRACT WORKER #2,DREAM STUDENT #1,0.0
ABSTRACT WORKER #2,DREAM STUDENT #2,0.0
ABSTRACT WORKER #2,Diane,0.0
ABSTRACT WORKER #2,EXTRA,0.0
ABSTRACT WORKER #2,FEMALE FORGETTER,0.0
ABSTRACT WORKER #2,Felipe,0.0
ABSTRACT WORKER #2,GIRL ALARM,0.0
ABSTRACT WORKER #2,GUM MEMORY,0.0
ABSTRACT WORKER #2,HELICOPTER PILOT,0.0
ABSTRACT WORKER #2,HOCKEY COACH,0.0
ABSTRACT WORKER #2,HOCKEY TEAMMATE,0.0
ABSTRACT WORKER #2,HOUSE OF CARDS WORKER,0.0
ABSTRACT WORKER #2,IMAGINARY BOYFRIEND,0.0
ABSTRACT WORKER #2,IMAGINARY BOYFRIENDS,0.0
ABSTRACT WORKER #2,JANGLES,0.0
ABSTRACT WORKER #2,Joyce,0.0176888517475
ABSTRACT WORKER #2,MALE FORGETTER,0.0
ABSTRACT WORKER #2,MEG,0.0
ABSTRACT WORKER #2,MIND WORKER COP #1,0.0
ABSTRACT WORKER #2,MIND WORKER COP #2,0.0
ABSTRACT WORKER #2,MOM,0.0
ABSTRACT WORKER #2,MOM'S Angelo,0.0
ABSTRACT WORKER #2,MOM'S Diane,0.0
ABSTRACT WORKER #2,MOM'S Felipe,0.0
ABSTRACT WORKER #2,MOM'S Joyce,0.0
ABSTRACT WORKER #2,MOM'S Sandra,0.0
ABSTRACT WORKER #2,MOUSE,0.0
ABSTRACT WORKER #2,PIZZA BEAR,0.0
ABSTRACT WORKER #2,PIZZA SLICE,0.0
ABSTRACT WORKER #2,RILEY,0.0
ABSTRACT WORKER #2,RILEY VOICE,0.0
ABSTRACT WORKER #2,SPORTS ANNOUNCER,0.0
ABSTRACT WORKER #2,SUBCONSCIOUS GUARD DAVE,0.0
ABSTRACT WORKER #2,SUBCONSCIOUS GUARD FRANK,0.0
ABSTRACT WORKER #2,Sandra,0.0597795172343
ABSTRACT WORKER #2,TEACHER,0.0
ABSTRACT WORKER #2,TRAIN ENGINEER,0.0
ABSTRACT WORKER #2,WORKER #1,0.0
ABSTRACT WORKER #2,WORKER FRITZ,0.0
ABSTRACT WORKER #2,YOUNG RILEY,0.0
Angelo,Angelo,1.0
Angelo,BING BONG,0.144362662521
Angelo,BOYFRIEND GENERATOR WORKER,0.0
Angelo,CLOUD MAN,0.046583924218
Angelo,CLOUD WITNESS,0.0641343502307
Angelo,DAD,0.186812490484
Angelo,DAD'S Angelo,0.089847644978
Angelo,DAD'S Felipe,0.00952830103873
Angelo,DREAM DIRECTOR,0.0581009948037
Angelo,DREAM PRODUCTIONS COP #1,0.033027329187
Angelo,DREAM STUDENT #1,0.00569311159085
Angelo,DREAM STUDENT #2,0.0495473087259
Angelo,Diane,0.239455611343
Angelo,EXTRA,0.0466482864202
Angelo,FEMALE FORGETTER,0.0936591223608
Angelo,Felipe,0.237360161346
Angelo,GIRL ALARM,0.00227965349682
Angelo,GUM MEMORY,0.0481352585443
Angelo,HELICOPTER PILOT,0.0109759320615
Angelo,HOCKEY COACH,0.0286373102575
Angelo,HOCKEY TEAMMATE,0.0131114334701
Angelo,HOUSE OF CARDS WORKER,0.0262578916516
Angelo,IMAGINARY BOYFRIEND,0.0379176165708
Angelo,IMAGINARY BOYFRIENDS,0.0330416638114
Angelo,JANGLES,0.0587012575753
Angelo,Joyce,0.234836156899
Angelo,MALE FORGETTER,0.063884279451
Angelo,MEG,0.0773076081579
Angelo,MIND WORKER COP #1,0.0939760441652
Angelo,MIND WORKER COP #2,0.0
Angelo,MOM,0.144122392617
Angelo,MOM'S Angelo,0.0693918952622
Angelo,MOM'S Diane,0.0878447442731
Angelo,MOM'S Felipe,0.0893642546957
Angelo,MOM'S Joyce,0.0726302422297
Angelo,MOM'S Sandra,0.0955401047005
Angelo,MOUSE,0.0620442924196
Angelo,PIZZA BEAR,0.0159075714241
Angelo,PIZZA SLICE,0.0435830086846
Angelo,RILEY,0.136861406806
Angelo,RILEY VOICE,0.0483878449343
Angelo,SPORTS ANNOUNCER,0.00708915545778
Angelo,SUBCONSCIOUS GUARD DAVE,0.0432082277064
Angelo,SUBCONSCIOUS GUARD FRANK,0.0511906298378
Angelo,Sandra,0.180185279309
Angelo,TEACHER,0.104343242179
Angelo,TRAIN ENGINEER,0.0494278500341
Angelo,WORKER #1,0.0373682706845
Angelo,WORKER FRITZ,0.0932617397392
Angelo,YOUNG RILEY,0.0251821183061
BING BONG,BING BONG,1.0
BING BONG,BOYFRIEND GENERATOR WORKER,0.0468094711177
BING BONG,CLOUD MAN,0.0352532864364
BING BONG,CLOUD WITNESS,0.00257284171453
BING BONG,DAD,0.130076889202
BING BONG,DAD'S Angelo,0.0520405761812
BING BONG,DAD'S Felipe,0.0262498533437
BING BONG,DREAM DIRECTOR,0.0814762393064
BING BONG,DREAM PRODUCTIONS COP #1,0.0660577279013
BING BONG,DREAM STUDENT #1,0.00724456626766
BING BONG,DREAM STUDENT #2,0.0369076626517
BING BONG,Diane,0.146364078109
BING BONG,EXTRA,0.0241773602555
BING BONG,FEMALE FORGETTER,0.103047385009
BING BONG,Felipe,0.163860018529
BING BONG,GIRL ALARM,0.00228861753311
BING BONG,GUM MEMORY,0.0103148447476
BING BONG,HELICOPTER PILOT,0.0468178682057
BING BONG,HOCKEY COACH,0.0132804197104
BING BONG,HOCKEY TEAMMATE,0.0601346778844
BING BONG,HOUSE OF CARDS WORKER,0.000897179317845
BING BONG,IMAGINARY BOYFRIEND,0.0231885040678
BING BONG,IMAGINARY BOYFRIENDS,0.0361063058566
BING BONG,JANGLES,0.0163966687674
BING BONG,Joyce,0.298388201139
BING BONG,MALE FORGETTER,0.0912142708032
BING BONG,MEG,0.0633848525952
BING BONG,MIND WORKER COP #1,0.101227160943
BING BONG,MIND WORKER COP #2,0.0146315840681
BING BONG,MOM,0.131179895964
BING BONG,MOM'S Angelo,0.0239852551221
BING BONG,MOM'S Diane,0.0712633157707
BING BONG,MOM'S Felipe,0.0411687041913
BING BONG,MOM'S Joyce,0.0453423519637
BING BONG,MOM'S Sandra,0.0517176588193
BING BONG,MOUSE,0.0353085269488
BING BONG,PIZZA BEAR,0.00181973703052
BING BONG,PIZZA SLICE,0.00115367319652
BING BONG,RILEY,0.124968739676
BING BONG,RILEY VOICE,0.0062945814884
BING BONG,SPORTS ANNOUNCER,0.0157106894397
BING BONG,SUBCONSCIOUS GUARD DAVE,0.049275094205
BING BONG,SUBCONSCIOUS GUARD FRANK,0.0627688047773
BING BONG,Sandra,0.194400504415
BING BONG,TEACHER,0.0715157398542
BING BONG,TRAIN ENGINEER,0.0194530134519
