rank,indices,names,value
1,"(11, 12)","(""MOM'S HEADQUARTERS"", 'SUBCONSCIOUS GATE')",0.0898606443362
2,"(12, 13)","('SUBCONSCIOUS GATE', ""DAD'S HEADQUARTERS"")",0.0938761391311
3,"(4, 13)","('ABSTRACT THOUGHT BUILDING', ""DAD'S HEADQUARTERS"")",0.098595252782
4,"(12, 14)","('SUBCONSCIOUS GATE', 'MINNESOTA HOUSE')",0.122449499995
5,"(7, 13)","('SUBCONSCIOUS CAVE', ""DAD'S HEADQUARTERS"")",0.123623019993
6,"(3, 13)","('IMAGINATIONLAND', ""DAD'S HEADQUARTERS"")",0.131708413106
7,"(9, 13)","('STAGE B', ""DAD'S HEADQUARTERS"")",0.13756806317
8,"(0, 12)","('HEADQUARTERS', 'SUBCONSCIOUS GATE')",0.138067064018
9,"(13, 14)","(""DAD'S HEADQUARTERS"", 'MINNESOTA HOUSE')",0.141225345947
10,"(1, 14)","('LONG-TERM MEMORY', 'MINNESOTA HOUSE')",0.142102239549
