rank,indices,names,value
1,"(0, 2)","('HEADQUARTERS', 'SAN FRANCISCO HOUSE')",0.386340114916
2,"(0, 1)","('HEADQUARTERS', 'LONG-TERM MEMORY')",0.380085148611
3,"(8, 10)","('MEMORY DUMP', 'MIND WORLD')",0.358507338841
4,"(1, 8)","('LONG-TERM MEMORY', 'MEMORY DUMP')",0.353442438903
5,"(2, 6)","('SAN FRANCISCO HOUSE', 'HOCKEY RINK')",0.332118301312
6,"(1, 2)","('LONG-TERM MEMORY', 'SAN FRANCISCO HOUSE')",0.322929827531
7,"(2, 8)","('SAN FRANCISCO HOUSE', 'MEMORY DUMP')",0.313467093212
8,"(7, 9)","('SUBCONSCIOUS CAVE', 'STAGE B')",0.310697124087
9,"(1, 3)","('LONG-TERM MEMORY', 'IMAGINATIONLAND')",0.307572083698
10,"(1, 4)","('LONG-TERM MEMORY', 'ABSTRACT THOUGHT BUILDING')",0.29051730265
