rank,indices,names,value
1,"(10, 21)","('HEADQUARTERS', 'SAN FRANCISCO HOUSE')",0.386340114916
2,"(10, 14)","('HEADQUARTERS', 'LONG-TERM MEMORY')",0.380085148611
3,"(15, 16)","('MEMORY DUMP', 'MIND WORLD')",0.358507338841
4,"(14, 15)","('LONG-TERM MEMORY', 'MEMORY DUMP')",0.353442438903
5,"(11, 21)","('HOCKEY RINK', 'SAN FRANCISCO HOUSE')",0.332118301312
6,"(14, 21)","('LONG-TERM MEMORY', 'SAN FRANCISCO HOUSE')",0.322929827531
7,"(29, 30)","('TRAIN CAR', 'TRAIN STATION')",0.319142369252
8,"(15, 21)","('MEMORY DUMP', 'SAN FRANCISCO HOUSE')",0.313467093212
9,"(23, 24)","('STAGE B', 'SUBCONSCIOUS CAVE')",0.310697124087
10,"(13, 14)","('IMAGINATIONLAND', 'LONG-TERM MEMORY')",0.307572083698
