location,location
HEADQUARTERS,413
LONG-TERM MEMORY,184
SAN FRANCISCO HOUSE,92
IMAGINATIONLAND,69
ABSTRACT THOUGHT BUILDING,40
CLASSROOM,32
HOCKEY RINK,29
SUBCONSCIOUS CAVE,28
MEMORY DUMP,26
STAGE B,20
MIND WORLD,20
MOM'S HEADQUARTERS,19
SUBCONSCIOUS GATE,18
DAD'S HEADQUARTERS,17
MINNESOTA HOUSE,11
TRAIN CAR,8
DREAM PRODUCTIONS,7
THE BACK OF THE ROOM,7
SAN FRANCISCO STREET,6
TRAIN STATION,4
EXT. SCHOOL - MORNING,3
ON THE SCREEN:,3
JOY BLOCKS HER.,2
MINNESOTA LAKE,2
SUBCONSCIOUS STAIRS,2
BUS,2
HOSPITAL,2
TITLE CARD: INSIDE OUT,1
GOOFBALL ISLAND,1
FALLS!,1
EXT. MARKET STREET - DAY,1
DO NOT ENTER WHEN LIGHT FLASHING.,1
BLACK.,1
