rank,indices,names,value
1,"(12, 14)","('SUBCONSCIOUS GATE', 'MINNESOTA HOUSE')",0.00687521366985
2,"(11, 12)","(""MOM'S HEADQUARTERS"", 'SUBCONSCIOUS GATE')",0.00879181624139
3,"(4, 13)","('ABSTRACT THOUGHT BUILDING', ""DAD'S HEADQUARTERS"")",0.0188008882169
4,"(7, 13)","('SUBCONSCIOUS CAVE', ""DAD'S HEADQUARTERS"")",0.0224313009393
5,"(9, 13)","('STAGE B', ""DAD'S HEADQUARTERS"")",0.0251922528759
6,"(8, 12)","('MEMORY DUMP', 'SUBCONSCIOUS GATE')",0.0259572544493
7,"(12, 13)","('SUBCONSCIOUS GATE', ""DAD'S HEADQUARTERS"")",0.0268360327717
8,"(9, 14)","('STAGE B', 'MINNESOTA HOUSE')",0.0274622261606
9,"(3, 13)","('IMAGINATIONLAND', ""DAD'S HEADQUARTERS"")",0.0300328445123
10,"(7, 11)","('SUBCONSCIOUS CAVE', ""MOM'S HEADQUARTERS"")",0.0309913896669
