rank,indices,names,value
1,"(0, 2)","('HEADQUARTERS', 'SAN FRANCISCO HOUSE')",0.265887385169
2,"(0, 1)","('HEADQUARTERS', 'LONG-TERM MEMORY')",0.255256950271
3,"(1, 8)","('LONG-TERM MEMORY', 'MEMORY DUMP')",0.216442603014
4,"(8, 10)","('MEMORY DUMP', 'MIND WORLD')",0.179191553144
5,"(1, 2)","('LONG-TERM MEMORY', 'SAN FRANCISCO HOUSE')",0.174632708753
6,"(7, 9)","('SUBCONSCIOUS CAVE', 'STAGE B')",0.17300183722
7,"(1, 4)","('LONG-TERM MEMORY', 'ABSTRACT THOUGHT BUILDING')",0.170148780564
8,"(2, 6)","('SAN FRANCISCO HOUSE', 'HOCKEY RINK')",0.165776205393
9,"(1, 3)","('LONG-TERM MEMORY', 'IMAGINATIONLAND')",0.16294127892
10,"(1, 10)","('LONG-TERM MEMORY', 'MIND WORLD')",0.155776049089
