location1,location2,tfidf_similarity
ABSTRACT THOUGHT BUILDING,ABSTRACT THOUGHT BUILDING,1.0
ABSTRACT THOUGHT BUILDING,BLACK.,0.0231052841917
ABSTRACT THOUGHT BUILDING,BUS,0.0440837823899
ABSTRACT THOUGHT BUILDING,CLASSROOM,0.0747466584557
ABSTRACT THOUGHT BUILDING,DAD'S HEADQUARTERS,0.0188008882169
ABSTRACT THOUGHT BUILDING,DO NOT ENTER WHEN LIGHT FLASHING.,0.0525269257405
ABSTRACT THOUGHT BUILDING,DREAM PRODUCTIONS,0.0310665698866
ABSTRACT THOUGHT BUILDING,EXT. SCHOOL - MORNING,0.00260674838606
ABSTRACT THOUGHT BUILDING,FALLS!,0.0324920050984
ABSTRACT THOUGHT BUILDING,GOOFBALL ISLAND,0.0114466281914
ABSTRACT THOUGHT BUILDING,HEADQUARTERS,0.127348020104
ABSTRACT THOUGHT BUILDING,HOCKEY RINK,0.0548637664593
ABSTRACT THOUGHT BUILDING,HOSPITAL,0.0112980912672
ABSTRACT THOUGHT BUILDING,IMAGINATIONLAND,0.113166779084
ABSTRACT THOUGHT BUILDING,LONG-TERM MEMORY,0.170148780564
ABSTRACT THOUGHT BUILDING,MEMORY DUMP,0.0862475244643
ABSTRACT THOUGHT BUILDING,MIND WORLD,0.0851516237025
ABSTRACT THOUGHT BUILDING,MINNESOTA HOUSE,0.0361238313386
ABSTRACT THOUGHT BUILDING,MINNESOTA LAKE,0.0160447779963
ABSTRACT THOUGHT BUILDING,MOM'S HEADQUARTERS,0.0468241991442
ABSTRACT THOUGHT BUILDING,ON THE SCREEN:,0.0316474626332
ABSTRACT THOUGHT BUILDING,SAN FRANCISCO HOUSE,0.0947838227598
ABSTRACT THOUGHT BUILDING,SAN FRANCISCO STREET,0.0193061338205
ABSTRACT THOUGHT BUILDING,STAGE B,0.0595600542508
ABSTRACT THOUGHT BUILDING,SUBCONSCIOUS CAVE,0.108062338793
ABSTRACT THOUGHT BUILDING,SUBCONSCIOUS GATE,0.068576127327
ABSTRACT THOUGHT BUILDING,SUBCONSCIOUS STAIRS,0.0286561490469
