rank,indices,names,value
1,"(10, 21)","('HEADQUARTERS', 'SAN FRANCISCO HOUSE')",0.265887385169
2,"(10, 14)","('HEADQUARTERS', 'LONG-TERM MEMORY')",0.255256950271
3,"(14, 15)","('LONG-TERM MEMORY', 'MEMORY DUMP')",0.216442603014
4,"(15, 16)","('MEMORY DUMP', 'MIND WORLD')",0.179191553144
5,"(14, 21)","('LONG-TERM MEMORY', 'SAN FRANCISCO HOUSE')",0.174632708753
6,"(23, 24)","('STAGE B', 'SUBCONSCIOUS CAVE')",0.17300183722
7,"(0, 14)","('ABSTRACT THOUGHT BUILDING', 'LONG-TERM MEMORY')",0.170148780564
8,"(1, 5)","('BLACK.', 'DO NOT ENTER WHEN LIGHT FLASHING.')",0.168037155993
9,"(11, 21)","('HOCKEY RINK', 'SAN FRANCISCO HOUSE')",0.165776205393
10,"(13, 14)","('IMAGINATIONLAND', 'LONG-TERM MEMORY')",0.16294127892
