rank,indices,names,value
1,"(3, 5)","('Fall in Memory Dump', 'Meet Bing Bong')",0.391689617903
2,"(3, 10)","('Fall in Memory Dump', 'Try to escape from Long-Term Memory')",0.373625819241
3,"(6, 10)","('Moving to San Francisco', 'Try to escape from Long-Term Memory')",0.368884034251
4,"(3, 9)","('Fall in Memory Dump', ""Riley's First Day"")",0.368066202895
5,"(3, 6)","('Fall in Memory Dump', 'Moving to San Francisco')",0.364358390415
6,"(5, 6)","('Meet Bing Bong', 'Moving to San Francisco')",0.363977851995
7,"(6, 9)","('Moving to San Francisco', ""Riley's First Day"")",0.357215451413
8,"(7, 9)","('Riley is Back', ""Riley's First Day"")",0.356686320021
9,"(6, 8)","('Moving to San Francisco', 'Riley is Born')",0.355930935835
10,"(2, 5)","('Dream Productions', 'Meet Bing Bong')",0.354902719435
