rank,indices,names,value
1,"(0, 7)","('Back to Headquarters', 'Riley is Back')",0.0278231739567
2,"(1, 10)","('Dinner Argument', 'Try to escape from Long-Term Memory')",0.0319343799741
3,"(1, 5)","('Dinner Argument', 'Meet Bing Bong')",0.0348466307739
4,"(0, 4)","('Back to Headquarters', 'Hockey Tryouts')",0.0358686819181
5,"(2, 7)","('Dream Productions', 'Riley is Back')",0.0372910152769
6,"(0, 1)","('Back to Headquarters', 'Dinner Argument')",0.0377011931381
7,"(1, 2)","('Dinner Argument', 'Dream Productions')",0.038623578114
8,"(3, 7)","('Fall in Memory Dump', 'Riley is Back')",0.0400922748722
9,"(1, 4)","('Dinner Argument', 'Hockey Tryouts')",0.0406422276367
10,"(7, 10)","('Riley is Back', 'Try to escape from Long-Term Memory')",0.0412353986729
