scene1,scene2,tfidf_similarity
Back to Headquarters,Back to Headquarters,1.0
Back to Headquarters,Dinner Argument,0.0377011931381
Back to Headquarters,Dream Productions,0.0554811248457
Back to Headquarters,Fall in Memory Dump,0.0877660595148
Back to Headquarters,Hockey Tryouts,0.0358686819181
Back to Headquarters,Meet Bing Bong,0.101882914141
Back to Headquarters,Moving to San Francisco,0.071679880247
Back to Headquarters,Riley is Back,0.0278231739567
Back to Headquarters,Riley is Born,0.0426377139684
Back to Headquarters,Riley's First Day,0.0513915813174
Back to Headquarters,Try to escape from Long-Term Memory,0.0549207853713
Dinner Argument,Dinner Argument,1.0
Dinner Argument,Dream Productions,0.038623578114
Dinner Argument,Fall in Memory Dump,0.0483810610887
Dinner Argument,Hockey Tryouts,0.0406422276367
Dinner Argument,Meet Bing Bong,0.0348466307739
Dinner Argument,Moving to San Francisco,0.0589056467485
Dinner Argument,Riley is Back,0.0552073038116
Dinner Argument,Riley is Born,0.0645981341151
Dinner Argument,Riley's First Day,0.0544845354811
Dinner Argument,Try to escape from Long-Term Memory,0.0319343799741
Dream Productions,Dream Productions,1.0
Dream Productions,Fall in Memory Dump,0.0944315371743
Dream Productions,Hockey Tryouts,0.0565634737673
Dream Productions,Meet Bing Bong,0.105156142178
Dream Productions,Moving to San Francisco,0.0955411761454
Dream Productions,Riley is Back,0.0372910152769
Dream Productions,Riley is Born,0.0511338589645
Dream Productions,Riley's First Day,0.0794948408171
Dream Productions,Try to escape from Long-Term Memory,0.0679839266559
Fall in Memory Dump,Fall in Memory Dump,1.0
Fall in Memory Dump,Hockey Tryouts,0.0808359258165
Fall in Memory Dump,Meet Bing Bong,0.130319499484
Fall in Memory Dump,Moving to San Francisco,0.0936697301635
Fall in Memory Dump,Riley is Back,0.0400922748722
Fall in Memory Dump,Riley is Born,0.06477621446
Fall in Memory Dump,Riley's First Day,0.0992540272063
Fall in Memory Dump,Try to escape from Long-Term Memory,0.104407285744
Hockey Tryouts,Hockey Tryouts,1.0
Hockey Tryouts,Meet Bing Bong,0.0699325403037
Hockey Tryouts,Moving to San Francisco,0.0677632746998
Hockey Tryouts,Riley is Back,0.0578887067023
Hockey Tryouts,Riley is Born,0.0482714037565
Hockey Tryouts,Riley's First Day,0.058010081694
Hockey Tryouts,Try to escape from Long-Term Memory,0.0584226400414
Meet Bing Bong,Meet Bing Bong,1.0
Meet Bing Bong,Moving to San Francisco,0.104761575148
Meet Bing Bong,Riley is Back,0.0431305892534
Meet Bing Bong,Riley is Born,0.0774830515326
Meet Bing Bong,Riley's First Day,0.0636498930928
Meet Bing Bong,Try to escape from Long-Term Memory,0.0881295753337
Moving to San Francisco,Moving to San Francisco,1.0
Moving to San Francisco,Riley is Back,0.0635743950483
Moving to San Francisco,Riley is Born,0.107317258347
Moving to San Francisco,Riley's First Day,0.094213952537
Moving to San Francisco,Try to escape from Long-Term Memory,0.107168455372
Riley is Back,Riley is Back,1.0
Riley is Back,Riley is Born,0.0435140715356
Riley is Back,Riley's First Day,0.0731658073433
Riley is Back,Try to escape from Long-Term Memory,0.0412353986729
Riley is Born,Riley is Born,1.0
Riley is Born,Riley's First Day,0.0792391167385
Riley is Born,Try to escape from Long-Term Memory,0.0668392712418
Riley's First Day,Riley's First Day,1.0
Riley's First Day,Try to escape from Long-Term Memory,0.067128682759
Try to escape from Long-Term Memory,Try to escape from Long-Term Memory,1.0
