rank,indices,names,value
1,"(3, 5)","('Fall in Memory Dump', 'Meet Bing Bong')",0.130319499484
2,"(6, 8)","('Moving to San Francisco', 'Riley is Born')",0.107317258347
3,"(6, 10)","('Moving to San Francisco', 'Try to escape from Long-Term Memory')",0.107168455372
4,"(2, 5)","('Dream Productions', 'Meet Bing Bong')",0.105156142178
5,"(5, 6)","('Meet Bing Bong', 'Moving to San Francisco')",0.104761575148
6,"(3, 10)","('Fall in Memory Dump', 'Try to escape from Long-Term Memory')",0.104407285744
7,"(0, 5)","('Back to Headquarters', 'Meet Bing Bong')",0.101882914141
8,"(3, 9)","('Fall in Memory Dump', ""Riley's First Day"")",0.0992540272063
9,"(2, 6)","('Dream Productions', 'Moving to San Francisco')",0.0955411761454
10,"(2, 3)","('Dream Productions', 'Fall in Memory Dump')",0.0944315371743
