document,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
Angelo,12,20,18,13,9,3,4,29,19,14
DREAM DIRECTOR,21,5,27,4,1,12,26,6,10,24
SUBCONSCIOUS GUARD FRANK,15,12,20,16,13,11,10,9,8,29
PIZZA SLICE,5,3,18,29,13,1,2,4,6,7
MOM'S Diane,0,12,13,20,1,10,17,14,21,22
TEACHER,4,12,13,27,21,6,7,29,1,2
DREAM PRODUCTIONS COP #1,20,16,28,29,12,1,2,3,4,5
YOUNG RILEY,24,1,5,12,29,13,2,3,4,6
IMAGINARY BOYFRIENDS,27,5,29,13,1,2,3,4,6,7
HOCKEY TEAMMATE,27,21,12,29,13,1,2,3,4,5
TRAIN ENGINEER,18,13,22,29,1,2,3,4,5,6
DAD'S Angelo,12,5,8,14,3,15,10,17,11,13
MOM'S Felipe,0,12,5,28,1,2,3,4,6,7
DAD,12,6,20,2,14,13,27,26,18,23
JANGLES,25,15,12,18,29,1,2,3,4,5
BOYFRIEND GENERATOR WORKER,7,9,29,28,1,2,3,4,5,6
RILEY,12,23,1,16,20,2,5,13,3,0
HELICOPTER PILOT,21,14,13,1,2,3,4,5,6,7
BING BONG,28,12,7,14,5,27,10,29,24,21
ABSTRACT WORKER #2,28,2,3,6,29,1,4,5,7,8
CLOUD MAN,13,3,0,20,16,1,2,4,5,6
Sandra,12,29,20,16,3,19,24,17,27,11
MOM'S Joyce,0,12,28,1,2,3,4,5,6,7
WORKER FRITZ,14,4,22,18,28,12,1,2,3,5
GIRL ALARM,25,20,5,29,13,1,2,3,4,6
DAD'S Felipe,8,20,5,16,24,22,6,10,9,7
MIND WORKER COP #2,4,8,10,17,29,13,1,2,3,5
PIZZA BEAR,22,20,11,29,13,1,2,3,4,5
FEMALE FORGETTER,10,5,3,12,27,18,6,29,16,14
ABSTRACT WORKER #1,12,4,1,21,8,26,24,29,2,3
RILEY VOICE,13,23,29,1,2,3,4,5,6,7
MIND WORKER COP #1,12,14,22,5,21,29,27,23,24,1
HOCKEY COACH,5,12,29,28,1,2,3,4,6,7
GUM MEMORY,25,28,29,13,1,2,3,4,5,6
Felipe,20,12,19,29,9,5,4,11,14,1
IMAGINARY BOYFRIEND,13,20,29,1,2,3,4,5,6,7
MOUSE,14,13,27,20,1,2,3,4,5,6
SUBCONSCIOUS GUARD DAVE,12,15,29,3,13,1,2,4,5,6
MEG,12,29,22,6,16,26,25,11,15,1
EXTRA,4,16,27,10,25,2,19,29,7,9
MOM'S Sandra,0,12,28,24,22,1,2,3,4,5
Diane,12,20,29,9,13,11,22,3,1,14
CLOUD WITNESS,28,9,29,1,2,3,4,5,6,7
HOUSE OF CARDS WORKER,0,1,5,19,28,13,2,3,4,6
WORKER #1,5,22,29,27,12,13,1,2,3,4
SPORTS ANNOUNCER,6,14,26,13,1,2,3,4,5,7
MOM,12,6,20,13,27,23,1,4,24,9
Joyce,12,28,11,24,20,27,14,19,17,3
MOM'S Angelo,20,3,18,5,29,13,1,2,4,6
DREAM STUDENT #1,5,1,11,29,28,2,3,4,6,7
MALE FORGETTER,10,25,20,5,23,16,2,12,7,9
DREAM STUDENT #2,5,14,28,2,1,3,4,6,7,8
