topic,character,probabilty
Topic 12,ABSTRACT WORKER #1,0.215789473684
Topic 12,ABSTRACT WORKER #2,0.0142857142857
Topic 12,Angelo,0.246555323591
Topic 12,BING BONG,0.220030120482
Topic 12,BOYFRIEND GENERATOR WORKER,0.02
Topic 12,CLOUD MAN,0.00666666666667
Topic 12,CLOUD WITNESS,0.0166666666667
Topic 12,DAD,0.282040816327
Topic 12,DAD'S Angelo,0.189583333333
Topic 12,DAD'S Felipe,0.00243902439024
Topic 12,DREAM DIRECTOR,0.043661971831
Topic 12,DREAM PRODUCTIONS COP #1,0.0166666666667
Topic 12,DREAM STUDENT #1,0.0111111111111
Topic 12,DREAM STUDENT #2,0.01
Topic 12,Diane,0.250252525253
Topic 12,EXTRA,0.00434782608696
Topic 12,FEMALE FORGETTER,0.139655172414
Topic 12,Felipe,0.193041749503
Topic 12,GIRL ALARM,0.0111111111111
Topic 12,GUM MEMORY,0.00454545454545
Topic 12,HELICOPTER PILOT,0.0166666666667
Topic 12,HOCKEY COACH,0.163157894737
Topic 12,HOCKEY TEAMMATE,0.183333333333
Topic 12,HOUSE OF CARDS WORKER,0.0125
Topic 12,IMAGINARY BOYFRIEND,0.00625
Topic 12,IMAGINARY BOYFRIENDS,0.02
Topic 12,JANGLES,0.055
Topic 12,Joyce,0.278282009724
Topic 12,MALE FORGETTER,0.02625
Topic 12,MEG,0.270731707317
Topic 12,MIND WORKER COP #1,0.241176470588
Topic 12,MIND WORKER COP #2,0.0142857142857
Topic 12,MOM,0.239534883721
Topic 12,MOM'S Angelo,0.0047619047619
Topic 12,MOM'S Diane,0.182142857143
Topic 12,MOM'S Felipe,0.182352941176
Topic 12,MOM'S Joyce,0.25625
Topic 12,MOM'S Sandra,0.280555555556
Topic 12,MOUSE,0.0142857142857
Topic 12,PIZZA BEAR,0.0125
Topic 12,PIZZA SLICE,0.0142857142857
Topic 12,RILEY,0.225416666667
Topic 12,RILEY VOICE,0.0125
Topic 12,SPORTS ANNOUNCER,0.01
Topic 12,SUBCONSCIOUS GUARD DAVE,0.436666666667
Topic 12,SUBCONSCIOUS GUARD FRANK,0.273076923077
Topic 12,Sandra,0.235159010601
Topic 12,TEACHER,0.29512195122
Topic 12,TRAIN ENGINEER,0.0142857142857
Topic 12,WORKER #1,0.1
Topic 12,WORKER FRITZ,0.01
Topic 12,YOUNG RILEY,0.163157894737
Topic 14,ABSTRACT WORKER #1,0.00526315789474
Topic 14,ABSTRACT WORKER #2,0.0142857142857
Topic 14,Angelo,0.0356993736952
Topic 14,BING BONG,0.0694277108434
Topic 14,BOYFRIEND GENERATOR WORKER,0.02
Topic 14,CLOUD MAN,0.00666666666667
Topic 14,CLOUD WITNESS,0.0166666666667
Topic 14,DAD,0.0861224489796
Topic 14,DAD'S Angelo,0.10625
Topic 14,DAD'S Felipe,0.00243902439024
Topic 14,DREAM DIRECTOR,0.00140845070423
Topic 14,DREAM PRODUCTIONS COP #1,0.0166666666667
Topic 14,DREAM STUDENT #1,0.0111111111111
Topic 14,DREAM STUDENT #2,0.11
Topic 14,Diane,0.0280303030303
Topic 14,EXTRA,0.00434782608696
Topic 14,FEMALE FORGETTER,0.0189655172414
Topic 14,Felipe,0.037972166998
Topic 14,GIRL ALARM,0.0111111111111
Topic 14,GUM MEMORY,0.00454545454545
Topic 14,HELICOPTER PILOT,0.183333333333
Topic 14,HOCKEY COACH,0.00526315789474
Topic 14,HOCKEY TEAMMATE,0.0166666666667
Topic 14,HOUSE OF CARDS WORKER,0.0125
Topic 14,IMAGINARY BOYFRIEND,0.00625
Topic 14,IMAGINARY BOYFRIENDS,0.02
Topic 14,JANGLES,0.005
Topic 14,Joyce,0.0643435980551
Topic 14,MALE FORGETTER,0.00125
Topic 14,MEG,0.00243902439024
Topic 14,MIND WORKER COP #1,0.182352941176
Topic 14,MIND WORKER COP #2,0.0142857142857
Topic 14,MOM,0.00365448504983
Topic 14,MOM'S Angelo,0.0047619047619
Topic 14,MOM'S Diane,0.0392857142857
Topic 14,MOM'S Felipe,0.00588235294118
Topic 14,MOM'S Joyce,0.00625
Topic 14,MOM'S Sandra,0.00277777777778
Topic 14,MOUSE,0.157142857143
Topic 14,PIZZA BEAR,0.0125
Topic 14,PIZZA SLICE,0.0142857142857
Topic 14,RILEY,0.000416666666667
Topic 14,RILEY VOICE,0.0125
Topic 14,SPORTS ANNOUNCER,0.11
Topic 14,SUBCONSCIOUS GUARD DAVE,0.00333333333333
Topic 14,SUBCONSCIOUS GUARD FRANK,0.00384615384615
Topic 14,Sandra,0.00017667844523
Topic 14,TEACHER,0.00243902439024
Topic 14,TRAIN ENGINEER,0.0142857142857
Topic 14,WORKER #1,0.00909090909091
Topic 14,WORKER FRITZ,0.21
Topic 14,YOUNG RILEY,0.00526315789474
Topic 20,ABSTRACT WORKER #1,0.00526315789474
Topic 20,ABSTRACT WORKER #2,0.0142857142857
Topic 20,Angelo,0.150521920668
Topic 20,BING BONG,0.0347891566265
Topic 20,BOYFRIEND GENERATOR WORKER,0.02
Topic 20,CLOUD MAN,0.0733333333333
Topic 20,CLOUD WITNESS,0.0166666666667
Topic 20,DAD,0.114693877551
Topic 20,DAD'S Angelo,0.00208333333333
Topic 20,DAD'S Felipe,0.173170731707
Topic 20,DREAM DIRECTOR,0.00140845070423
Topic 20,DREAM PRODUCTIONS COP #1,0.183333333333
Topic 20,DREAM STUDENT #1,0.0111111111111
Topic 20,DREAM STUDENT #2,0.01
Topic 20,Diane,0.141666666667
Topic 20,EXTRA,0.00434782608696
Topic 20,FEMALE FORGETTER,0.00172413793103
Topic 20,Felipe,0.197017892644
Topic 20,GIRL ALARM,0.233333333333
Topic 20,GUM MEMORY,0.00454545454545
Topic 20,HELICOPTER PILOT,0.0166666666667
Topic 20,HOCKEY COACH,0.00526315789474
Topic 20,HOCKEY TEAMMATE,0.0166666666667
Topic 20,HOUSE OF CARDS WORKER,0.0125
Topic 20,IMAGINARY BOYFRIEND,0.31875
Topic 20,IMAGINARY BOYFRIENDS,0.02
Topic 20,JANGLES,0.005
Topic 20,Joyce,0.0708265802269
Topic 20,MALE FORGETTER,0.17625
Topic 20,MEG,0.00243902439024
Topic 20,MIND WORKER COP #1,0.00588235294118
Topic 20,MIND WORKER COP #2,0.0142857142857
Topic 20,MOM,0.146511627907
Topic 20,MOM'S Angelo,0.385714285714
Topic 20,MOM'S Diane,0.075
Topic 20,MOM'S Felipe,0.00588235294118
Topic 20,MOM'S Joyce,0.00625
Topic 20,MOM'S Sandra,0.00277777777778
Topic 20,MOUSE,0.157142857143
Topic 20,PIZZA BEAR,0.2625
Topic 20,PIZZA SLICE,0.0142857142857
Topic 20,RILEY,0.0795833333333
Topic 20,RILEY VOICE,0.0125
Topic 20,SPORTS ANNOUNCER,0.01
Topic 20,SUBCONSCIOUS GUARD DAVE,0.00333333333333
Topic 20,SUBCONSCIOUS GUARD FRANK,0.0807692307692
