topic,character,probabilty
Topic 0,ABSTRACT WORKER #1,0.00526315789474
Topic 0,ABSTRACT WORKER #2,0.0142857142857
Topic 0,Angelo,0.0127348643006
Topic 0,BING BONG,0.000150602409639
Topic 0,BOYFRIEND GENERATOR WORKER,0.02
Topic 0,CLOUD MAN,0.14
Topic 0,CLOUD WITNESS,0.0166666666667
Topic 0,DAD,0.000408163265306
Topic 0,DAD'S Angelo,0.00208333333333
Topic 0,DAD'S Felipe,0.00243902439024
Topic 0,DREAM DIRECTOR,0.00140845070423
Topic 0,DREAM PRODUCTIONS COP #1,0.0166666666667
Topic 0,DREAM STUDENT #1,0.0111111111111
Topic 0,DREAM STUDENT #2,0.01
Topic 0,Diane,0.000252525252525
Topic 0,EXTRA,0.00434782608696
Topic 0,FEMALE FORGETTER,0.00172413793103
Topic 0,Felipe,0.00417495029821
Topic 0,GIRL ALARM,0.0111111111111
Topic 0,GUM MEMORY,0.00454545454545
Topic 0,HELICOPTER PILOT,0.0166666666667
Topic 0,HOCKEY COACH,0.00526315789474
Topic 0,HOCKEY TEAMMATE,0.0166666666667
Topic 0,HOUSE OF CARDS WORKER,0.1375
Topic 0,IMAGINARY BOYFRIEND,0.00625
Topic 0,IMAGINARY BOYFRIENDS,0.02
Topic 0,JANGLES,0.005
Topic 0,Joyce,0.0243652079957
Topic 0,MALE FORGETTER,0.00125
Topic 0,MEG,0.00243902439024
Topic 0,MIND WORKER COP #1,0.00588235294118
Topic 0,MIND WORKER COP #2,0.0142857142857
Topic 0,MOM,0.000332225913621
Topic 0,MOM'S Angelo,0.0047619047619
Topic 0,MOM'S Diane,0.325
Topic 0,MOM'S Felipe,0.535294117647
Topic 0,MOM'S Joyce,0.56875
Topic 0,MOM'S Sandra,0.530555555556
Topic 0,MOUSE,0.0142857142857
Topic 0,PIZZA BEAR,0.0125
Topic 0,PIZZA SLICE,0.0142857142857
Topic 0,RILEY,0.00875
Topic 0,RILEY VOICE,0.0125
Topic 0,SPORTS ANNOUNCER,0.01
Topic 0,SUBCONSCIOUS GUARD DAVE,0.00333333333333
Topic 0,SUBCONSCIOUS GUARD FRANK,0.00384615384615
Topic 0,Sandra,0.00017667844523
Topic 0,TEACHER,0.00243902439024
Topic 0,TRAIN ENGINEER,0.0142857142857
Topic 0,WORKER #1,0.00909090909091
Topic 0,WORKER FRITZ,0.01
Topic 0,YOUNG RILEY,0.00526315789474
Topic 1,ABSTRACT WORKER #1,0.110526315789
Topic 1,ABSTRACT WORKER #2,0.0142857142857
Topic 1,Angelo,0.033611691023
Topic 1,BING BONG,0.000150602409639
Topic 1,BOYFRIEND GENERATOR WORKER,0.02
Topic 1,CLOUD MAN,0.00666666666667
Topic 1,CLOUD WITNESS,0.0166666666667
Topic 1,DAD,0.000408163265306
Topic 1,DAD'S Angelo,0.00208333333333
Topic 1,DAD'S Felipe,0.00243902439024
Topic 1,DREAM DIRECTOR,0.0577464788732
Topic 1,DREAM PRODUCTIONS COP #1,0.0166666666667
Topic 1,DREAM STUDENT #1,0.122222222222
Topic 1,DREAM STUDENT #2,0.01
Topic 1,Diane,0.0457070707071
Topic 1,EXTRA,0.00434782608696
Topic 1,FEMALE FORGETTER,0.00172413793103
Topic 1,Felipe,0.0300198807157
Topic 1,GIRL ALARM,0.0111111111111
Topic 1,GUM MEMORY,0.00454545454545
Topic 1,HELICOPTER PILOT,0.0166666666667
Topic 1,HOCKEY COACH,0.00526315789474
Topic 1,HOCKEY TEAMMATE,0.0166666666667
Topic 1,HOUSE OF CARDS WORKER,0.1375
Topic 1,IMAGINARY BOYFRIEND,0.00625
Topic 1,IMAGINARY BOYFRIENDS,0.02
Topic 1,JANGLES,0.005
Topic 1,Joyce,0.0086980010805
Topic 1,MALE FORGETTER,0.00125
Topic 1,MEG,0.00243902439024
Topic 1,MIND WORKER COP #1,0.00588235294118
Topic 1,MIND WORKER COP #2,0.0142857142857
Topic 1,MOM,0.0501661129568
Topic 1,MOM'S Angelo,0.0047619047619
Topic 1,MOM'S Diane,0.075
Topic 1,MOM'S Felipe,0.00588235294118
Topic 1,MOM'S Joyce,0.00625
Topic 1,MOM'S Sandra,0.00277777777778
Topic 1,MOUSE,0.0142857142857
Topic 1,PIZZA BEAR,0.0125
