word,topic,probabilty
!,Topic 0,8.55578370979e-05
!,Topic 1,7.20046082949e-05
!,Topic 2,0.000119217930377
!,Topic 3,5.21159057744e-05
!,Topic 4,6.67200427008e-05
!,Topic 5,0.472703639515
!,Topic 6,8.27266710788e-05
!,Topic 7,0.000103220478943
!,Topic 8,0.000178954903364
!,Topic 9,7.20046082949e-05
!,Topic 10,8.41184387618e-05
!,Topic 11,4.2756969386e-05
!,Topic 12,0.161288277883
!,Topic 13,5.37981493437e-05
!,Topic 14,3.804017042e-05
!,Topic 15,0.000175808720113
!,Topic 16,6.62778366914e-05
!,Topic 17,7.69941484447e-05
!,Topic 18,0.000123639960435
!,Topic 19,4.97809637595e-05
!,Topic 20,0.333419261703
!,Topic 21,0.000131787032156
!,Topic 22,0.00010216591745
!,Topic 23,9.10083727703e-05
!,Topic 24,4.05055087492e-05
!,Topic 25,0.000120656370656
!,Topic 26,9.62649210628e-05
!,Topic 27,3.56023924808e-05
!,Topic 28,0.418646885004
!,Topic 29,3.87777260741e-05
!!,Topic 0,8.55578370979e-05
!!,Topic 1,7.20046082949e-05
!!,Topic 2,0.000119217930377
!!,Topic 3,5.21159057744e-05
!!,Topic 4,6.67200427008e-05
!!,Topic 5,3.93886875689e-05
!!,Topic 6,8.27266710788e-05
!!,Topic 7,0.000103220478943
!!,Topic 8,0.000178954903364
!!,Topic 9,7.20046082949e-05
!!,Topic 10,8.41184387618e-05
!!,Topic 11,4.2756969386e-05
!!,Topic 12,7.04284869144e-06
!!,Topic 13,5.37981493437e-05
!!,Topic 14,0.0152541083384
!!,Topic 15,0.000175808720113
!!,Topic 16,6.62778366914e-05
!!,Topic 17,7.69941484447e-05
!!,Topic 18,0.000123639960435
!!,Topic 19,4.97809637595e-05
!!,Topic 20,1.71856740221e-05
!!,Topic 21,0.000131787032156
!!,Topic 22,0.00010216591745
!!,Topic 23,9.10083727703e-05
!!,Topic 24,4.05055087492e-05
!!,Topic 25,0.000120656370656
!!,Topic 26,9.62649210628e-05
!!,Topic 27,3.56023924808e-05
!!,Topic 28,3.07805959123e-05
