topic,counts,top 10 words
Topic 12,1407,? ! get go oh back know okay good let
Topic 20,569,! ? one right na mom really gon ?! uh
Topic 28,312,! train headquarters station play rocket follow sing song BONG
Topic 27,268,Riley day take remember still fun huh hello favorite dog
Topic 14,250,hey come run see talk Huh thing stop Alright course
Topic 29,245,Joyce oh like right AIIIIIGHH feel mean lose start quit
Topic 5,241,! look call best put school night job Change excite
Topic 24,234,way Bong love Bing friend another nice long walk touch
Topic 11,221,Sandra think ?! Island yes ohh broccoli thing fall Felipe
Topic 19,188,memory wait core work hockey whoa friendship cry dream safe
Topic 3,179,yeah could idea island sad problem give nothing head fix
Topic 13,173,Riley would move Minnesota hey kid see San live Francisco
Topic 16,138,yeah sorry stop game without every stand shot awful Dogs
Topic 4,137,new today lot thank something get turn everybody class like
Topic 1,126,Dad friend play hockey guess everyone Meg want Great yup
Topic 9,126,!!! yes ?!? dead argue Pizza bear mouse worst pretend
Topic 17,117,make Joyce around manual ah turn positive job headquarters mean
Topic 6,108,new phone school monkey even little best thank center believe
Topic 10,106,ha ? forget think memory dump never face keep fade
Topic 0,104,need pay ta attention start really kid keep smart notice
Topic 23,97,know pretty everything team alright Woo tag okay smile Andersen
Topic 26,91,wake thanks two house work let color Friendship else across
Topic 22,85,cool away hear Wha mind actually step fix totally expand
Topic 7,84,ow please candy shortcut louder moon imaginary nom always world
Topic 2,71,miss come maybe ta listen look bye Mmm mad almost
Topic 25,70,gum girl tripledent birthday last stand ?!?! ok pull smile
Topic 18,68,go toot sleep eat bus man take need airplane attitude
Topic 21,63,camera set Imaginationland away add Graham everyone part script fly
Topic 15,44,hat say handwriting talk label write drop force Booooo plot
Topic 8,43,Foot Sir 2 level gentleman uh-oh take face command Jake
