document,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
CLASSROOM,3,28,0,17,15,18,21,1,12,25
MINNESOTA HOUSE,27,28,29,0,13,1,15,21,16,4
SAN FRANCISCO HOUSE,28,13,0,29,17,24,19,12,21,6
ON THE SCREEN:,28,4,0,3,20,27,10,21,5,11
ABSTRACT THOUGHT BUILDING,28,6,20,2,15,23,9,21,1,8
DAD'S HEADQUARTERS,14,28,29,0,4,3,18,10,22,27
LONG-TERM MEMORY,28,18,24,23,15,20,7,0,25,21
BUS,0,3,28,2,18,10,23,19,11,29
HOSPITAL,27,14,6,11,13,1,2,3,4,5
DREAM PRODUCTIONS,17,28,23,0,11,27,3,2,4,12
MEMORY DUMP,15,25,28,0,18,6,29,14,24,23
DO NOT ENTER WHEN LIGHT FLASHING.,18,6,28,1,9,29,13,2,3,4
TITLE CARD: INSIDE OUT,28,9,1,0,5,2,3,4,6,7
MINNESOTA LAKE,28,14,19,10,0,24,11,1,2,3
MIND WORLD,28,26,0,25,18,15,2,23,24,14
EXT. SCHOOL - MORNING,28,0,8,10,12,25,13,1,2,3
SUBCONSCIOUS GATE,28,16,23,17,18,29,7,9,8,6
SUBCONSCIOUS CAVE,28,22,15,23,21,1,2,20,16,0
FALLS!,15,5,21,25,29,12,1,2,3,4
BLACK.,28,1,0,18,4,13,2,3,5,6
THE BACK OF THE ROOM,28,21,26,23,1,0,12,18,6,10
SUBCONSCIOUS STAIRS,1,13,7,27,15,28,10,19,0,5
MOM'S HEADQUARTERS,8,29,28,27,12,19,18,13,4,10
HEADQUARTERS,28,18,4,0,9,12,29,17,23,19
STAGE B,28,22,18,23,15,26,3,27,7,25
TRAIN CAR,2,28,15,24,9,17,27,3,16,29
TRAIN STATION,24,28,2,23,29,12,1,3,4,5
SAN FRANCISCO STREET,1,28,0,5,18,24,29,26,25,22
HOCKEY RINK,28,10,0,29,12,27,20,3,26,11
IMAGINATIONLAND,28,15,11,0,8,20,23,19,1,27
GOOFBALL ISLAND,28,21,26,23,6,10,9,8,7,29
