topic,location,probabilty
Topic 0,ABSTRACT THOUGHT BUILDING,0.000302114803625
Topic 0,BLACK.,0.13125
Topic 0,BUS,0.217647058824
Topic 0,CLASSROOM,0.134733893557
Topic 0,DAD'S HEADQUARTERS,0.0578571428571
Topic 0,DO NOT ENTER WHEN LIGHT FLASHING.,0.00526315789474
Topic 0,DREAM PRODUCTIONS,0.1
Topic 0,EXT. SCHOOL - MORNING,0.147619047619
Topic 0,FALLS!,0.00526315789474
Topic 0,GOOFBALL ISLAND,0.00526315789474
Topic 0,HEADQUARTERS,0.0541755888651
Topic 0,HOCKEY RINK,0.163436123348
Topic 0,HOSPITAL,0.00714285714286
Topic 0,IMAGINATIONLAND,0.0727975270479
Topic 0,LONG-TERM MEMORY,0.0522802379379
Topic 0,MEMORY DUMP,0.132127659574
Topic 0,MIND WORLD,0.1005
Topic 0,MINNESOTA HOUSE,0.0875
Topic 0,MINNESOTA LAKE,0.0911764705882
Topic 0,MOM'S HEADQUARTERS,0.000961538461538
Topic 0,ON THE SCREEN:,0.128125
Topic 0,SAN FRANCISCO HOUSE,0.146658097686
Topic 0,SAN FRANCISCO STREET,0.180597014925
Topic 0,STAGE B,0.000602409638554
Topic 0,SUBCONSCIOUS CAVE,0.0238317757009
Topic 0,SUBCONSCIOUS GATE,0.00126582278481
Topic 0,SUBCONSCIOUS STAIRS,0.0578947368421
Topic 0,THE BACK OF THE ROOM,0.0577464788732
Topic 0,TITLE CARD: INSIDE OUT,0.110714285714
Topic 0,TRAIN CAR,0.001
Topic 0,TRAIN STATION,0.00344827586207
Topic 15,ABSTRACT THOUGHT BUILDING,0.0788519637462
Topic 15,BLACK.,0.00625
Topic 15,BUS,0.00196078431373
Topic 15,CLASSROOM,0.0675070028011
Topic 15,DAD'S HEADQUARTERS,0.000714285714286
Topic 15,DO NOT ENTER WHEN LIGHT FLASHING.,0.00526315789474
Topic 15,DREAM PRODUCTIONS,0.00123456790123
Topic 15,EXT. SCHOOL - MORNING,0.0047619047619
Topic 15,FALLS!,0.426315789474
Topic 15,GOOFBALL ISLAND,0.00526315789474
Topic 15,HEADQUARTERS,0.0150198837565
Topic 15,HOCKEY RINK,0.000440528634361
Topic 15,HOSPITAL,0.00714285714286
Topic 15,IMAGINATIONLAND,0.146986089645
Topic 15,LONG-TERM MEMORY,0.0780568407138
Topic 15,MEMORY DUMP,0.261914893617
Topic 15,MIND WORLD,0.0705
Topic 15,MINNESOTA HOUSE,0.0490384615385
Topic 15,MINNESOTA LAKE,0.00294117647059
Topic 15,MOM'S HEADQUARTERS,0.000961538461538
Topic 15,ON THE SCREEN:,0.003125
Topic 15,SAN FRANCISCO HOUSE,0.00398457583548
Topic 15,SAN FRANCISCO STREET,0.00149253731343
Topic 15,STAGE B,0.109036144578
Topic 15,SUBCONSCIOUS CAVE,0.168691588785
Topic 15,SUBCONSCIOUS GATE,0.00126582278481
Topic 15,SUBCONSCIOUS STAIRS,0.110526315789
Topic 15,THE BACK OF THE ROOM,0.00140845070423
Topic 15,TITLE CARD: INSIDE OUT,0.00357142857143
Topic 15,TRAIN CAR,0.161
Topic 15,TRAIN STATION,0.00344827586207
Topic 18,ABSTRACT THOUGHT BUILDING,0.000302114803625
Topic 18,BLACK.,0.13125
Topic 18,BUS,0.0803921568627
Topic 18,CLASSROOM,0.0478991596639
Topic 18,DAD'S HEADQUARTERS,0.0221428571429
Topic 18,DO NOT ENTER WHEN LIGHT FLASHING.,0.426315789474
Topic 18,DREAM PRODUCTIONS,0.00123456790123
Topic 18,EXT. SCHOOL - MORNING,0.0047619047619
Topic 18,FALLS!,0.00526315789474
Topic 18,GOOFBALL ISLAND,0.00526315789474
Topic 18,HEADQUARTERS,0.112603242582
Topic 18,HOCKEY RINK,0.000440528634361
Topic 18,HOSPITAL,0.00714285714286
Topic 18,IMAGINATIONLAND,0.0047913446677
Topic 18,LONG-TERM MEMORY,0.103172504957
Topic 18,MEMORY DUMP,0.11085106383
Topic 18,MIND WORLD,0.0705
Topic 18,MINNESOTA HOUSE,0.000961538461538
Topic 18,MINNESOTA LAKE,0.00294117647059
Topic 18,MOM'S HEADQUARTERS,0.0298076923077
Topic 18,ON THE SCREEN:,0.003125
Topic 18,SAN FRANCISCO HOUSE,0.0258354755784
Topic 18,SAN FRANCISCO STREET,0.0761194029851
Topic 18,STAGE B,0.211445783133
Topic 18,SUBCONSCIOUS CAVE,0.0191588785047
Topic 18,SUBCONSCIOUS GATE,0.0139240506329
Topic 18,SUBCONSCIOUS STAIRS,0.00526315789474
Topic 18,THE BACK OF THE ROOM,0.0154929577465
Topic 18,TITLE CARD: INSIDE OUT,0.00357142857143
Topic 18,TRAIN CAR,0.001
Topic 18,TRAIN STATION,0.00344827586207
Topic 23,ABSTRACT THOUGHT BUILDING,0.0607250755287
Topic 23,BLACK.,0.00625
Topic 23,BUS,0.0411764705882
Topic 23,CLASSROOM,0.00868347338936
Topic 23,DAD'S HEADQUARTERS,0.000714285714286
Topic 23,DO NOT ENTER WHEN LIGHT FLASHING.,0.00526315789474
Topic 23,DREAM PRODUCTIONS,0.112345679012
Topic 23,EXT. SCHOOL - MORNING,0.0047619047619
Topic 23,FALLS!,0.00526315789474
Topic 23,GOOFBALL ISLAND,0.0578947368421
Topic 23,HEADQUARTERS,0.0364331599878
Topic 23,HOCKEY RINK,0.000440528634361
Topic 23,HOSPITAL,0.00714285714286
Topic 23,IMAGINATIONLAND,0.0542503863988
Topic 23,LONG-TERM MEMORY,0.080039656312
Topic 23,MEMORY DUMP,0.00659574468085
Topic 23,MIND WORLD,0.0505
Topic 23,MINNESOTA HOUSE,0.000961538461538
Topic 23,MINNESOTA LAKE,0.00294117647059
Topic 23,MOM'S HEADQUARTERS,0.000961538461538
Topic 23,ON THE SCREEN:,0.003125
Topic 23,SAN FRANCISCO HOUSE,0.00141388174807
Topic 23,SAN FRANCISCO STREET,0.00149253731343
Topic 23,STAGE B,0.109036144578
Topic 23,SUBCONSCIOUS CAVE,0.121962616822
Topic 23,SUBCONSCIOUS GATE,0.16582278481
Topic 23,SUBCONSCIOUS STAIRS,0.00526315789474
Topic 23,THE BACK OF THE ROOM,0.142253521127
Topic 23,TITLE CARD: INSIDE OUT,0.00357142857143
Topic 23,TRAIN CAR,0.001
Topic 23,TRAIN STATION,0.141379310345
Topic 28,ABSTRACT THOUGHT BUILDING,0.311480362538
Topic 28,BLACK.,0.31875
