topic,location,probabilty
Topic 0,ABSTRACT THOUGHT BUILDING,0.000302114803625
Topic 0,BLACK.,0.13125
Topic 0,BUS,0.217647058824
Topic 0,CLASSROOM,0.134733893557
Topic 0,DAD'S HEADQUARTERS,0.0578571428571
Topic 0,DO NOT ENTER WHEN LIGHT FLASHING.,0.00526315789474
Topic 0,DREAM PRODUCTIONS,0.1
Topic 0,EXT. SCHOOL - MORNING,0.147619047619
Topic 0,FALLS!,0.00526315789474
Topic 0,GOOFBALL ISLAND,0.00526315789474
Topic 0,HEADQUARTERS,0.0541755888651
Topic 0,HOCKEY RINK,0.163436123348
Topic 0,HOSPITAL,0.00714285714286
Topic 0,IMAGINATIONLAND,0.0727975270479
Topic 0,LONG-TERM MEMORY,0.0522802379379
Topic 0,MEMORY DUMP,0.132127659574
Topic 0,MIND WORLD,0.1005
Topic 0,MINNESOTA HOUSE,0.0875
Topic 0,MINNESOTA LAKE,0.0911764705882
Topic 0,MOM'S HEADQUARTERS,0.000961538461538
Topic 0,ON THE SCREEN:,0.128125
Topic 0,SAN FRANCISCO HOUSE,0.146658097686
Topic 0,SAN FRANCISCO STREET,0.180597014925
Topic 0,STAGE B,0.000602409638554
Topic 0,SUBCONSCIOUS CAVE,0.0238317757009
Topic 0,SUBCONSCIOUS GATE,0.00126582278481
Topic 0,SUBCONSCIOUS STAIRS,0.0578947368421
Topic 0,THE BACK OF THE ROOM,0.0577464788732
Topic 0,TITLE CARD: INSIDE OUT,0.110714285714
Topic 0,TRAIN CAR,0.001
Topic 0,TRAIN STATION,0.00344827586207
Topic 1,ABSTRACT THOUGHT BUILDING,0.0365558912387
Topic 1,BLACK.,0.19375
Topic 1,BUS,0.00196078431373
Topic 1,CLASSROOM,0.0394957983193
Topic 1,DAD'S HEADQUARTERS,0.000714285714286
Topic 1,DO NOT ENTER WHEN LIGHT FLASHING.,0.0578947368421
Topic 1,DREAM PRODUCTIONS,0.00123456790123
Topic 1,EXT. SCHOOL - MORNING,0.0047619047619
Topic 1,FALLS!,0.00526315789474
Topic 1,GOOFBALL ISLAND,0.00526315789474
Topic 1,HEADQUARTERS,0.0156316916488
Topic 1,HOCKEY RINK,0.000440528634361
Topic 1,HOSPITAL,0.00714285714286
Topic 1,IMAGINATIONLAND,0.0341576506955
Topic 1,LONG-TERM MEMORY,0.0139458030403
Topic 1,MEMORY DUMP,0.000212765957447
Topic 1,MIND WORLD,0.0005
Topic 1,MINNESOTA HOUSE,0.0490384615385
Topic 1,MINNESOTA LAKE,0.00294117647059
Topic 1,MOM'S HEADQUARTERS,0.000961538461538
Topic 1,ON THE SCREEN:,0.003125
Topic 1,SAN FRANCISCO HOUSE,0.00012853470437
Topic 1,SAN FRANCISCO STREET,0.255223880597
Topic 1,STAGE B,0.000602409638554
Topic 1,SUBCONSCIOUS CAVE,0.0471962616822
Topic 1,SUBCONSCIOUS GATE,0.00126582278481
Topic 1,SUBCONSCIOUS STAIRS,0.163157894737
Topic 1,THE BACK OF THE ROOM,0.128169014085
Topic 1,TITLE CARD: INSIDE OUT,0.182142857143
Topic 1,TRAIN CAR,0.001
Topic 1,TRAIN STATION,0.00344827586207
Topic 2,ABSTRACT THOUGHT BUILDING,0.12416918429
Topic 2,BLACK.,0.00625
Topic 2,BUS,0.0803921568627
Topic 2,CLASSROOM,0.000280112044818
Topic 2,DAD'S HEADQUARTERS,0.000714285714286
Topic 2,DO NOT ENTER WHEN LIGHT FLASHING.,0.00526315789474
Topic 2,DREAM PRODUCTIONS,0.00123456790123
Topic 2,EXT. SCHOOL - MORNING,0.0047619047619
Topic 2,FALLS!,0.00526315789474
Topic 2,GOOFBALL ISLAND,0.00526315789474
Topic 2,HEADQUARTERS,0.00278372591006
Topic 2,HOCKEY RINK,0.000440528634361
Topic 2,HOSPITAL,0.00714285714286
Topic 2,IMAGINATIONLAND,0.0187017001546
Topic 2,LONG-TERM MEMORY,0.0337739590218
Topic 2,MEMORY DUMP,0.000212765957447
Topic 2,MIND WORLD,0.0605
Topic 2,MINNESOTA HOUSE,0.000961538461538
Topic 2,MINNESOTA LAKE,0.00294117647059
Topic 2,MOM'S HEADQUARTERS,0.000961538461538
Topic 2,ON THE SCREEN:,0.003125
Topic 2,SAN FRANCISCO HOUSE,0.00012853470437
Topic 2,SAN FRANCISCO STREET,0.00149253731343
Topic 2,STAGE B,0.0066265060241
Topic 2,SUBCONSCIOUS CAVE,0.0331775700935
Topic 2,SUBCONSCIOUS GATE,0.00126582278481
Topic 2,SUBCONSCIOUS STAIRS,0.00526315789474
Topic 2,THE BACK OF THE ROOM,0.00140845070423
Topic 2,TITLE CARD: INSIDE OUT,0.00357142857143
Topic 2,TRAIN CAR,0.271
Topic 2,TRAIN STATION,0.141379310345
Topic 3,ABSTRACT THOUGHT BUILDING,0.000302114803625
Topic 3,BLACK.,0.00625
Topic 3,BUS,0.217647058824
Topic 3,CLASSROOM,0.20756302521
Topic 3,DAD'S HEADQUARTERS,0.0221428571429
Topic 3,DO NOT ENTER WHEN LIGHT FLASHING.,0.00526315789474
Topic 3,DREAM PRODUCTIONS,0.00123456790123
Topic 3,EXT. SCHOOL - MORNING,0.0047619047619
Topic 3,FALLS!,0.00526315789474
Topic 3,GOOFBALL ISLAND,0.00526315789474
Topic 3,HEADQUARTERS,0.00584276537167
Topic 3,HOCKEY RINK,0.0136563876652
Topic 3,HOSPITAL,0.00714285714286
Topic 3,IMAGINATIONLAND,0.0032457496136
Topic 3,LONG-TERM MEMORY,0.000727032385988
Topic 3,MEMORY DUMP,0.000212765957447
Topic 3,MIND WORLD,0.0005
Topic 3,MINNESOTA HOUSE,0.000961538461538
Topic 3,MINNESOTA LAKE,0.00294117647059
Topic 3,MOM'S HEADQUARTERS,0.000961538461538
Topic 3,ON THE SCREEN:,0.096875
Topic 3,SAN FRANCISCO HOUSE,0.00526992287918
Topic 3,SAN FRANCISCO STREET,0.00149253731343
Topic 3,STAGE B,0.0126506024096
Topic 3,SUBCONSCIOUS CAVE,0.000467289719626
Topic 3,SUBCONSCIOUS GATE,0.00126582278481
Topic 3,SUBCONSCIOUS STAIRS,0.00526315789474
Topic 3,THE BACK OF THE ROOM,0.00140845070423
Topic 3,TITLE CARD: INSIDE OUT,0.00357142857143
Topic 3,TRAIN CAR,0.021
Topic 3,TRAIN STATION,0.00344827586207
Topic 4,ABSTRACT THOUGHT BUILDING,0.000302114803625
