document,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
Riley's First Day,3,17,0,28,24,1,19,5,2,7
Meet Bing Bong,3,17,23,21,25,1,5,0,9,27
Try to escape from Long-Term Memory,3,17,27,16,29,0,1,2,10,11
Hockey Tryouts,3,9,17,21,7,1,28,15,2,0
Dream Productions,3,8,17,1,11,21,0,25,5,27
Back to Headquarters,3,1,17,20,14,10,7,15,27,23
Moving to San Francisco,3,17,7,13,2,5,29,26,0,4
Riley is Born,3,17,12,7,0,16,4,24,28,1
Fall in Memory Dump,17,3,22,21,0,7,1,20,19,2
Riley is Back,3,7,18,28,17,24,6,0,5,11
Dinner Argument,3,6,17,7,15,19,12,24,4,28
