topic,scene,probabilty
Topic 0,Back to Headquarters,0.0155025553663
Topic 0,Dinner Argument,0.000243902439024
Topic 0,Dream Productions,0.0389687235841
Topic 0,Fall in Memory Dump,0.0734713076199
Topic 0,Hockey Tryouts,0.0390593047035
Topic 0,Meet Bing Bong,0.0416470588235
Topic 0,Moving to San Francisco,0.0357098186366
Topic 0,Riley is Back,0.0211627906977
Topic 0,Riley is Born,0.0804545454545
Topic 0,Riley's First Day,0.128263473054
Topic 0,Try to escape from Long-Term Memory,0.0766055045872
Topic 1,Back to Headquarters,0.197785349233
Topic 1,Dinner Argument,0.000243902439024
Topic 1,Dream Productions,0.110819949281
Topic 1,Fall in Memory Dump,0.0537158984008
Topic 1,Hockey Tryouts,0.0472392638037
Topic 1,Meet Bing Bong,0.0502745098039
Topic 1,Moving to San Francisco,0.0156973108193
Topic 1,Riley is Back,0.0141860465116
Topic 1,Riley is Born,0.035
Topic 1,Riley's First Day,0.0659880239521
Topic 1,Try to escape from Long-Term Memory,0.0659021406728
Topic 2,Back to Headquarters,0.000170357751278
Topic 2,Dinner Argument,0.000243902439024
Topic 2,Dream Productions,0.0169907016061
Topic 2,Fall in Memory Dump,0.0301975540922
Topic 2,Hockey Tryouts,0.0411042944785
Topic 2,Meet Bing Bong,0.00321568627451
Topic 2,Moving to San Francisco,0.0744840525328
Topic 2,Riley is Back,0.0188372093023
Topic 2,Riley is Born,0.0168181818182
Topic 2,Riley's First Day,0.06
Topic 2,Try to escape from Long-Term Memory,0.0490825688073
Topic 3,Back to Headquarters,0.20800681431
Topic 3,Dinner Argument,0.258780487805
Topic 3,Dream Productions,0.227472527473
Topic 3,Fall in Memory Dump,0.170366886171
Topic 3,Hockey Tryouts,0.28445807771
Topic 3,Meet Bing Bong,0.296549019608
Topic 3,Moving to San Francisco,0.243964978111
Topic 3,Riley is Back,0.276976744186
Topic 3,Riley is Born,0.18803030303
Topic 3,Riley's First Day,0.210898203593
Topic 3,Try to escape from Long-Term Memory,0.227981651376
Topic 4,Back to Headquarters,0.0120954003407
Topic 4,Dinner Argument,0.0124390243902
Topic 4,Dream Productions,0.0296703296703
Topic 4,Fall in Memory Dump,9.40733772342e-05
Topic 4,Hockey Tryouts,0.000204498977505
Topic 4,Meet Bing Bong,7.8431372549e-05
Topic 4,Moving to San Francisco,0.0319574734209
Topic 4,Riley is Back,0.000232558139535
Topic 4,Riley is Born,0.0562121212121
Topic 4,Riley's First Day,0.000119760479042
Topic 4,Try to escape from Long-Term Memory,0.00779816513761
Topic 5,Back to Headquarters,0.000170357751278
Topic 5,Dinner Argument,0.000243902439024
Topic 5,Dream Productions,0.0330515638208
Topic 5,Fall in Memory Dump,0.0038570084666
Topic 5,Hockey Tryouts,0.000204498977505
Topic 5,Meet Bing Bong,0.044
Topic 5,Moving to San Francisco,0.0519699812383
Topic 5,Riley is Back,0.0211627906977
Topic 5,Riley is Born,0.0122727272727
Topic 5,Riley's First Day,0.0611976047904
Topic 5,Try to escape from Long-Term Memory,0.00932721712538
Topic 6,Back to Headquarters,0.000170357751278
Topic 6,Dinner Argument,0.183170731707
Topic 6,Dream Productions,8.45308537616e-05
Topic 6,Fall in Memory Dump,9.40733772342e-05
Topic 6,Hockey Tryouts,0.000204498977505
Topic 6,Meet Bing Bong,7.8431372549e-05
Topic 6,Moving to San Francisco,6.25390869293e-05
Topic 6,Riley is Back,0.0374418604651
Topic 6,Riley is Born,0.000151515151515
Topic 6,Riley's First Day,0.000119760479042
Topic 6,Try to escape from Long-Term Memory,0.000152905198777
Topic 7,Back to Headquarters,0.0427597955707
Topic 7,Dinner Argument,0.149024390244
Topic 7,Dream Productions,0.0119188503804
Topic 7,Fall in Memory Dump,0.0631232361242
Topic 7,Hockey Tryouts,0.0513292433538
Topic 7,Meet Bing Bong,7.8431372549e-05
Topic 7,Moving to San Francisco,0.106378986867
Topic 7,Riley is Back,0.160697674419
Topic 7,Riley is Born,0.100151515152
