word,topic,probabilty
!,Topic 0,1.99840127898e-05
!,Topic 1,1.77809388336e-05
!,Topic 2,3.17057704502e-05
!,Topic 3,0.310260541337
!,Topic 4,6.27352572146e-05
!,Topic 5,3.63108206245e-05
!,Topic 6,9.05797101449e-05
!,Topic 7,1.81356546971e-05
!,Topic 8,5.86854460094e-05
!,Topic 9,5.57413600892e-05
!,Topic 10,6.08272506083e-05
!,Topic 11,4.89236790607e-05
!,Topic 12,7.6103500761e-05
!,Topic 13,5.17063081696e-05
!,Topic 14,7.27802037846e-05
!,Topic 15,6.69344042838e-05
!,Topic 16,4.99001996008e-05
!,Topic 17,7.67813267813e-06
!,Topic 18,9.765625e-05
!,Topic 19,6.19578686493e-05
!,Topic 20,6.47668393782e-05
!,Topic 21,2.86204922725e-05
!,Topic 22,5.57413600892e-05
!,Topic 23,5.66893424036e-05
!,Topic 24,7.17360114778e-05
!,Topic 25,5.93824228029e-05
!,Topic 26,6.04594921403e-05
!,Topic 27,4.2662116041e-05
!,Topic 28,4.47627573859e-05
!,Topic 29,5.01504513541e-05
!!,Topic 0,1.99840127898e-05
!!,Topic 1,1.77809388336e-05
!!,Topic 2,3.17057704502e-05
!!,Topic 3,4.60320382987e-06
!!,Topic 4,6.27352572146e-05
!!,Topic 5,3.63108206245e-05
!!,Topic 6,9.05797101449e-05
!!,Topic 7,1.81356546971e-05
!!,Topic 8,5.86854460094e-05
!!,Topic 9,5.57413600892e-05
!!,Topic 10,0.0243917274939
!!,Topic 11,4.89236790607e-05
!!,Topic 12,7.6103500761e-05
!!,Topic 13,5.17063081696e-05
!!,Topic 14,7.27802037846e-05
!!,Topic 15,6.69344042838e-05
!!,Topic 16,4.99001996008e-05
!!,Topic 17,7.67813267813e-06
!!,Topic 18,9.765625e-05
!!,Topic 19,6.19578686493e-05
!!,Topic 20,6.47668393782e-05
!!,Topic 21,2.86204922725e-05
!!,Topic 22,5.57413600892e-05
!!,Topic 23,5.66893424036e-05
!!,Topic 24,7.17360114778e-05
!!,Topic 25,5.93824228029e-05
!!,Topic 26,6.04594921403e-05
!!,Topic 27,4.2662116041e-05
!!,Topic 28,4.47627573859e-05
!!,Topic 29,5.01504513541e-05
!!!,Topic 0,1.99840127898e-05
!!!,Topic 1,1.77809388336e-05
!!!,Topic 2,0.0349080532657
!!!,Topic 3,4.60320382987e-06
!!!,Topic 4,6.27352572146e-05
!!!,Topic 5,3.63108206245e-05
!!!,Topic 6,9.05797101449e-05
!!!,Topic 7,1.81356546971e-05
!!!,Topic 8,5.86854460094e-05
!!!,Topic 9,5.57413600892e-05
!!!,Topic 10,6.08272506083e-05
!!!,Topic 11,4.89236790607e-05
!!!,Topic 12,7.6103500761e-05
!!!,Topic 13,5.17063081696e-05
!!!,Topic 14,7.27802037846e-05
!!!,Topic 15,6.69344042838e-05
!!!,Topic 16,4.99001996008e-05
!!!,Topic 17,7.67813267813e-06
!!!,Topic 18,9.765625e-05
!!!,Topic 19,6.19578686493e-05
!!!,Topic 20,6.47668393782e-05
!!!,Topic 21,2.86204922725e-05
!!!,Topic 22,5.57413600892e-05
!!!,Topic 23,5.66893424036e-05
!!!,Topic 24,7.17360114778e-05
!!!,Topic 25,5.93824228029e-05
!!!,Topic 26,6.04594921403e-05
!!!,Topic 27,4.2662116041e-05
!!!,Topic 28,4.47627573859e-05
!!!,Topic 29,5.01504513541e-05
!!!!,Topic 0,1.99840127898e-05
!!!!,Topic 1,1.77809388336e-05
!!!!,Topic 2,3.17057704502e-05
!!!!,Topic 3,4.60320382987e-06
!!!!,Topic 4,6.27352572146e-05
!!!!,Topic 5,3.63108206245e-05
!!!!,Topic 6,9.05797101449e-05
!!!!,Topic 7,1.81356546971e-05
!!!!,Topic 8,5.86854460094e-05
!!!!,Topic 9,5.57413600892e-05
!!!!,Topic 10,6.08272506083e-05
!!!!,Topic 11,4.89236790607e-05
!!!!,Topic 12,0.00768645357686
!!!!,Topic 13,5.17063081696e-05
!!!!,Topic 14,7.27802037846e-05
!!!!,Topic 15,6.69344042838e-05
!!!!,Topic 16,4.99001996008e-05
!!!!,Topic 17,0.000775491400491
!!!!,Topic 18,9.765625e-05
!!!!,Topic 19,6.19578686493e-05
!!!!,Topic 20,6.47668393782e-05
!!!!,Topic 21,2.86204922725e-05
!!!!,Topic 22,5.57413600892e-05
!!!!,Topic 23,5.66893424036e-05
!!!!,Topic 24,7.17360114778e-05
!!!!,Topic 25,5.93824228029e-05
!!!!,Topic 26,6.04594921403e-05
!!!!,Topic 27,4.2662116041e-05
!!!!,Topic 28,4.47627573859e-05
!!!!,Topic 29,5.01504513541e-05
!?,Topic 0,1.99840127898e-05
!?,Topic 1,1.77809388336e-05
!?,Topic 2,3.17057704502e-05
!?,Topic 3,4.60320382987e-06
!?,Topic 4,6.27352572146e-05
!?,Topic 5,3.63108206245e-05
!?,Topic 6,9.05797101449e-05
!?,Topic 7,1.81356546971e-05
!?,Topic 8,5.86854460094e-05
!?,Topic 9,5.57413600892e-05
!?,Topic 10,6.08272506083e-05
!?,Topic 11,0.00494129158513
!?,Topic 12,7.6103500761e-05
!?,Topic 13,5.17063081696e-05
!?,Topic 14,7.27802037846e-05
!?,Topic 15,6.69344042838e-05
!?,Topic 16,4.99001996008e-05
!?,Topic 17,7.67813267813e-06
!?,Topic 18,9.765625e-05
!?,Topic 19,6.19578686493e-05
!?,Topic 20,6.47668393782e-05
!?,Topic 21,2.86204922725e-05
!?,Topic 22,5.57413600892e-05
!?,Topic 23,5.66893424036e-05
!?,Topic 24,7.17360114778e-05
!?,Topic 25,5.93824228029e-05
!?,Topic 26,6.04594921403e-05
!?,Topic 27,4.2662116041e-05
!?,Topic 28,4.47627573859e-05
!?,Topic 29,5.01504513541e-05
!?!,Topic 0,1.99840127898e-05
!?!,Topic 1,1.77809388336e-05
!?!,Topic 2,3.17057704502e-05
!?!,Topic 3,0.000464923586816
!?!,Topic 4,6.27352572146e-05
!?!,Topic 5,3.63108206245e-05
!?!,Topic 6,9.05797101449e-05
!?!,Topic 7,1.81356546971e-05
!?!,Topic 8,5.86854460094e-05
!?!,Topic 9,5.57413600892e-05
!?!,Topic 10,6.08272506083e-05
!?!,Topic 11,4.89236790607e-05
!?!,Topic 12,7.6103500761e-05
!?!,Topic 13,5.17063081696e-05
!?!,Topic 14,7.27802037846e-05
!?!,Topic 15,6.69344042838e-05
!?!,Topic 16,4.99001996008e-05
!?!,Topic 17,7.67813267813e-06
!?!,Topic 18,9.765625e-05
!?!,Topic 19,6.19578686493e-05
!?!,Topic 20,6.47668393782e-05
!?!,Topic 21,2.86204922725e-05
!?!,Topic 22,5.57413600892e-05
!?!,Topic 23,5.66893424036e-05
!?!,Topic 24,7.17360114778e-05
!?!,Topic 25,5.93824228029e-05
!?!,Topic 26,6.04594921403e-05
!?!,Topic 27,4.2662116041e-05
!?!,Topic 28,4.47627573859e-05
!?!,Topic 29,5.01504513541e-05
11,Topic 0,1.99840127898e-05
11,Topic 1,1.77809388336e-05
11,Topic 2,3.17057704502e-05
11,Topic 3,4.60320382987e-06
11,Topic 4,0.00633626097867
11,Topic 5,3.63108206245e-05
11,Topic 6,9.05797101449e-05
11,Topic 7,1.81356546971e-05
11,Topic 8,5.86854460094e-05
11,Topic 9,5.57413600892e-05
11,Topic 10,6.08272506083e-05
11,Topic 11,4.89236790607e-05
11,Topic 12,7.6103500761e-05
11,Topic 13,5.17063081696e-05
11,Topic 14,7.27802037846e-05
11,Topic 15,6.69344042838e-05
11,Topic 16,4.99001996008e-05
11,Topic 17,7.67813267813e-06
11,Topic 18,9.765625e-05
11,Topic 19,6.19578686493e-05
11,Topic 20,6.47668393782e-05
11,Topic 21,2.86204922725e-05
