topic,counts,top 10 words
Topic 3,2153,! ? go oh hey make yeah know one try
Topic 17,1283,Joyce Riley get look back come okay well happy take
Topic 1,543,Sandra run Joyce wait stop away Felipe follow let stand
Topic 7,532,Riley Dad mom like hockey could sorry cry screen emotion
Topic 0,481,memory core play headquarters talk good pull tube grab bad
Topic 21,330,Bong Bing train way point see hide song woah moon
Topic 2,296,day think thing still gon behind !!! smile fun dead
Topic 5,256,like jump new whoa cool something ? live Huh stay
Topic 27,215,ha dump lose gum remember tripledent sad nothing lead ah
Topic 28,204,new console kid holder pretty sure skate stand ta alright
Topic 11,185,dream love sleep front please scare quit guard worker break
Topic 16,181,Island shelf shoot across Goofball forget Whoa laugh monkey rewind
Topic 29,180,right read manual close way Friendship bear uh sigh problem
Topic 13,174,house car pizza run read move favorite maybe mouse step
Topic 22,160,another sing fade cliff hill louder satchel crash purse disappear
Topic 9,160,rocket station Riley island hockey crumble change fact dangerous cat
Topic 23,157,wait BING elephant abstract part ground win ta wagon course
Topic 8,151,camera hat wake birthday ow Jangles set Unicorn handwriting tooth
Topic 25,149,giant three corner stage long candy shortcut nose catch sure
Topic 26,146,hold wall van people thanks insert kind window tell already
Topic 10,145,window bag walk yes die touch else cut approach !!
Topic 19,142,school blue circle class push help nice excite Prairie Vu
Topic 4,140,screen dog broccoli nice enter two behind eat light dance
Topic 20,135,Diane console towards bus Angelo Island Cloud ?!? mess ledge
Topic 15,130,would something push San eye suppose anything spit weird box
Topic 24,120,ahh island thank button Islands everybody blue course job Core
Topic 14,118,change mind pull second long blow feel positive crazy round
Topic 12,112,memory look power golden lever roll mostly airplane dinner dessert
Topic 6,91,Angelo Foot uh Sir act brazilian helicopter green attitude guy
Topic 18,83,miss puck boy face foghorn kidding bottle toss mad emotion
