,time,character,quote,location,description,Sentiment
0,0,Joyce,"Do you ever look at someone and wonder, What is going on inside their head? Well, I know. I know Riley's head.",BLACK.,,0
1,1,Joyce,Hmm?,HEADQUARTERS,Out of the blackness steps a glowing figure. This is Joyce. The room is black except for a bright CONSCIOUSNESS SCREEN.,0
2,2,Joyce,And there she was...,HOSPITAL,The baby gurgles and wiggles happily.,0
3,3,MOM,"Hello, Riley.",HEADQUARTERS,The baby gurgles and wiggles happily.,0
4,4,DAD,Oh look at you. Aren't you a little bundle of joy?,HEADQUARTERS,The baby gurgles and wiggles happily.,0
5,5,Joyce,Whoa.,HEADQUARTERS,A GOLDEN GLOWING SPHERE rolls from behind the screen. It's a MEMORY of what we just saw: Mom and Dad cooing at Riley.,0
6,6,Joyce,"It was amazing. Just Riley and me, forever...",HOSPITAL,Baby Riley gurgles happily.,0
7,7,Joyce,...for 33 seconds.,HEADQUARTERS,Baby Riley CRIES.,0
8,8,Sandra,I'm Sandra.,HEADQUARTERS,"Joyce looks to her side. There's a new, droopy, blue character touching the button.",0
9,9,Joyce,"Oh, hello. I'm Joyce.",HEADQUARTERS,"Joyce looks to her side. There's a new, droopy, blue character touching the button.",0
10,10,Joyce,Can I just... if you could... I just want to fix that. Thanks.,HEADQUARTERS,Joyce tries to muscle past Sandra to press the button.,0
11,11,Joyce,And that was just the beginning. Headquarters only got more crowded from there.,HEADQUARTERS,The two struggle.,-1
12,12,Felipe,"Very nice. Okay, looks like you got this. Very good, sharp turn...",HEADQUARTERS,"ON THE SCREEN: Riley's POV as she runs through the house.  Felipe supervises Joyce, who drives.",2
13,13,Felipe,Ahh! Look out!!! No!,HEADQUARTERS,Riley approaches a POWER CORD on the ground.,0
14,14,Joyce,That's Felipe. He's really good at keeping Riley safe.,HEADQUARTERS,Felipe leaps to the console.,1
15,15,Felipe,Easy... we're good! We're good.,MINNESOTA HOUSE,Riley stops. She cautiously steps over the power cord.,0
16,16,Joyce,Whew!/Nice job.,HEADQUARTERS,A fear memory (purple) rolls in.,0
18,18,Felipe,Thank you! Thank you very much.,HEADQUARTERS,A fear memory (purple) rolls in.,0
19,19,Joyce,And we're back!,HEADQUARTERS,Joyce jumps back into driving position.,0
20,20,DAD,"Here we go. Alright, open.",MINNESOTA HOUSE,PLOP into highchair. Bib. Tray. Bowl.,0
21,21,Joyce,Hmm. This looks new.,HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.,0
22,22,Felipe,Do you think it's safe?/What is it?,HEADQUARTERS,Dad lifts a spoonful of food to Riley's mouth.,0
24,24,Diane,"Okay, caution! There is a dangerous smell, people. Hold on, what is that?",HEADQUARTERS,ON THE SCREEN: a spoonful of broccoli. Diane enters.,-1
